#META:{"test_id": 9, "dataset": "annthyroid", "dataset_path": "/home/peppino58/CoBench/SubModules/ADBench/adbench/datasets/Classical/2_annthyroid.npz", "n_trials": 3, "seeds": [58, 59, 60], "models": ["prenet", "deepsad"], "n_models": 2, "has_recurrent": true, "recurrent_model": "gru", "colearner": "CoLearnerVal", "strategy": "PlateauStrategy", "warmup_epochs": 20, "max_chapters": 15, "epochs_per_chapter": 3, "gru_start_chapter": 3, "train_split": 0.6, "val_test_split": 0.5, "semi_label_ratio": 0.1, "timestamp": "2026-02-25T15:44:17.368136"}
method,mean,std,min,q25,median,q75,max,n_trials
solo_prenet_auc,0.828572,0.014414,0.816849,0.818420,0.819990,0.834433,0.848876,3
solo_prenet_ap,0.469473,0.037230,0.435920,0.443515,0.451110,0.486250,0.521389,3
solo_deepsad_auc,0.921541,0.016295,0.901634,0.911537,0.921441,0.931495,0.941548,3
solo_deepsad_ap,0.673574,0.078715,0.576107,0.625919,0.675731,0.722307,0.768883,3
collab_prenet_auc,0.805741,0.021800,0.778884,0.792471,0.806059,0.819170,0.832281,3
collab_prenet_ap,0.436702,0.049881,0.375064,0.406437,0.437809,0.467521,0.497234,3
collab_deepsad_auc,0.898388,0.006273,0.889919,0.895128,0.900337,0.902623,0.904908,3
collab_deepsad_ap,0.607847,0.061474,0.522188,0.580000,0.637812,0.650677,0.663541,3
collab_ensemble_auc,0.870795,0.022821,0.840049,0.858860,0.877670,0.886168,0.894665,3
collab_ensemble_ap,0.564365,0.025631,0.531271,0.549688,0.568104,0.580911,0.593719,3
gru_judge_auc,0.821577,0.030928,0.793102,0.800082,0.807062,0.835814,0.864567,3
gru_judge_ap,0.466108,0.071733,0.382024,0.420512,0.458999,0.508150,0.557301,3
delta_prenet_auc,-0.022830,0.013138,-0.041106,-0.028851,-0.016595,-0.013693,-0.010790,3
delta_prenet_ap,-0.032771,0.020347,-0.060855,-0.042505,-0.024155,-0.018728,-0.013302,3
delta_deepsad_auc,-0.023153,0.010278,-0.036640,-0.028872,-0.021103,-0.016409,-0.011716,3
delta_deepsad_ap,-0.065727,0.049246,-0.131071,-0.092495,-0.053919,-0.033054,-0.012190,3
