Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,3.92,6.36,5.12,4.65,5.3,3.7,8.15,3.61,3.64,5.19,3.91,4.27,7.5,7.46,7.03,6.01
annthyroid,45.28,49.95,40.81,46.43,44.91,63.56,80.54,43.62,8.28,40.68,54.35,82.4,69.19,78.78,79.32,79.71
backdoor,18.34,63.57,29.1,90.3,89.6,77.61,65.85,11.04,64.49,79.78,33.28,73.24,62.71,66.54,74.83,57.75
breastw,86.0,88.3,96.01,99.11,98.54,90.05,94.64,99.52,80.51,98.93,66.65,94.55,89.89,97.84,95.06,96.69
campaign,30.76,28.61,15.3,42.04,44.12,29.45,51.43,33.02,27.11,29.75,23.69,33.84,39.61,47.0,47.8,50.86
cardio,39.46,55.53,86.47,89.58,87.31,88.78,83.34,69.42,48.91,75.61,,88.49,70.36,67.92,76.67,88.51
Cardiotocography,34.0,69.51,81.18,80.91,82.19,67.56,75.08,76.96,61.68,78.52,51.64,68.1,68.36,69.15,70.46,76.75
celeba,5.18,11.74,3.21,27.64,29.25,22.76,21.97,15.36,13.79,24.15,7.8,22.71,10.53,19.68,18.11,15.0
census,8.05,18.49,10.07,33.3,30.9,25.57,38.83,9.88,22.68,23.04,16.25,18.85,28.87,33.92,35.81,36.95
cover,0.91,78.76,95.4,94.46,94.54,86.61,77.94,85.05,47.46,61.23,49.11,89.62,68.2,26.45,82.39,82.77
donors,11.66,99.87,17.07,99.93,98.8,99.44,96.53,88.56,99.36,99.08,98.9,99.91,77.45,89.43,90.26,94.96
fault,49.99,55.76,60.23,57.99,60.11,56.01,58.07,51.01,49.61,60.22,47.4,55.75,55.95,58.97,56.39,62.8
fraud,42.43,36.13,42.44,52.18,54.51,54.04,44.21,0.14,36.84,41.7,34.3,54.71,51.5,0.14,44.37,55.0
glass,13.43,26.48,28.9,34.4,48.87,75.56,80.48,59.55,65.98,21.4,79.36,79.07,58.01,66.27,67.87,88.36
Hepatitis,22.06,60.03,86.51,87.1,86.04,84.08,89.19,78.23,16.0,87.57,87.07,86.66,75.54,90.66,89.44,90.87
http,73.48,84.95,93.99,100.0,100.0,83.33,96.68,96.68,61.84,0.37,100.0,100.0,99.44,0.38,100.0,93.81
InternetAds,46.53,49.14,59.7,54.43,50.85,46.45,55.75,20.92,52.42,35.09,35.18,,41.36,48.29,56.21,74.41
Ionosphere,89.9,81.12,93.27,81.04,80.04,76.02,91.88,81.79,75.02,76.17,64.8,70.61,80.05,88.68,90.76,90.99
landsat,19.21,72.8,33.37,46.38,50.9,57.88,72.01,29.36,55.46,67.48,54.03,72.56,65.28,65.33,65.32,74.43
letter,16.19,19.15,18.23,18.87,18.93,17.07,32.69,10.75,11.53,8.42,28.21,9.42,14.99,17.45,18.74,18.68
Lymphography,65.6,63.73,95.68,90.91,91.06,87.65,78.56,58.94,4.11,78.42,73.53,90.14,73.24,86.82,84.07,94.88
magic.gamma,46.82,76.4,74.06,72.03,75.31,72.94,78.93,68.31,48.44,81.29,64.17,75.71,72.02,72.02,67.83,76.31
mammography,14.82,56.62,57.08,62.03,57.98,56.32,49.72,51.3,20.6,55.84,41.35,56.14,41.05,30.67,35.08,47.59
mnist,17.3,65.21,84.81,84.03,82.38,73.36,85.18,9.54,59.76,70.51,38.11,75.45,74.66,77.4,78.47,86.68
musk,90.72,86.97,95.74,100.0,100.0,100.0,99.78,86.64,43.36,100.0,68.83,98.95,81.82,75.66,99.57,100.0
optdigits,3.3,86.34,98.79,99.53,99.35,98.66,84.17,67.98,49.02,95.4,36.11,89.7,83.02,60.67,80.34,89.47
PageBlocks,46.01,76.02,75.26,63.51,67.46,74.33,74.75,53.66,48.77,74.44,57.44,64.71,65.96,76.45,76.24,83.24
pendigits,3.01,89.92,97.13,94.03,91.18,96.9,79.07,90.68,54.94,91.69,75.74,95.09,68.81,59.83,85.18,90.96
Pima,44.26,51.28,51.98,59.8,61.98,59.09,61.14,63.14,38.38,43.45,43.17,51.49,58.52,62.96,60.78,61.53
satellite,66.0,83.83,78.79,82.42,82.19,79.87,84.83,75.4,64.6,83.93,72.68,86.85,81.4,80.76,78.63,86.06
satimage-2,44.03,86.42,92.29,91.58,88.7,92.4,81.92,81.7,43.77,79.01,63.28,84.63,78.55,34.28,74.28,86.5
