Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,56.59,56.63,54.54,49.55,49.5,53.11,72.1,47.78,47.05,51.34,49.79,50.89,60.67,57.98,58.95,56.85
annthyroid,82.83,87.41,82.05,83.31,82.78,93.07,98.21,82.54,40.43,80.53,90.88,98.67,93.72,97.39,97.56,98.85
backdoor,83.69,96.47,89.4,97.84,96.39,96.73,96.17,79.46,94.03,95.82,58.2,93.93,87.71,93.93,97.22,96.69
breastw,92.59,94.61,97.92,99.49,98.79,88.12,97.88,99.75,79.54,99.54,60.44,98.18,93.69,99.01,97.43,98.78
campaign,73.02,71.02,57.92,83.85,83.84,72.49,90.77,75.62,68.88,72.51,62.26,79.61,80.15,88.25,88.72,90.08
cardio,82.87,86.51,98.09,98.35,97.97,96.57,97.42,90.04,86.19,94.32,,98.27,91.53,93.39,94.3,98.46
Cardiotocography,55.12,86.65,91.8,93.15,93.33,85.38,89.77,90.85,83.19,91.02,69.36,86.43,85.64,87.23,87.03,91.85
celeba,72.16,80.0,57.33,93.69,93.65,88.66,92.9,88.89,79.76,94.03,62.02,93.03,71.1,90.03,89.17,87.29
census,60.45,71.9,69.07,84.88,79.66,79.2,88.53,62.38,79.12,79.02,61.42,76.73,79.14,85.87,86.07,87.91
cover,45.42,96.71,99.92,99.88,99.87,95.43,97.76,98.72,92.73,97.86,73.39,99.92,92.37,61.22,98.25,99.5
donors,69.68,99.99,82.79,99.99,99.95,99.98,99.83,99.42,99.72,99.84,99.43,99.99,90.19,99.01,99.28,99.72
fault,64.59,72.45,72.43,72.1,72.04,68.44,73.43,67.35,63.85,73.92,55.75,71.13,70.86,73.16,70.8,75.79
fraud,90.51,87.57,92.22,87.01,88.45,80.95,84.86,50.0,88.04,85.69,59.19,90.27,84.91,42.32,84.41,90.98
glass,67.84,87.31,88.12,90.86,95.77,89.62,97.44,87.85,86.33,82.77,93.27,95.06,79.6,94.5,94.49,99.15
Hepatitis,56.34,85.24,93.02,95.68,93.86,88.61,94.25,91.89,50.0,92.91,91.54,93.12,85.17,96.29,95.32,96.35
http,99.8,99.93,99.98,100.0,100.0,99.84,98.33,98.33,83.31,0.17,100.0,100.0,100.0,44.39,100.0,99.97
InternetAds,68.04,75.03,82.43,70.71,66.9,70.04,76.69,53.78,75.03,66.53,57.26,,75.62,76.23,76.41,84.26
Ionosphere,92.29,85.56,95.65,78.94,78.19,76.77,94.53,87.7,82.17,75.95,60.35,70.87,83.89,91.81,92.67,94.62
landsat,47.4,90.09,57.21,78.71,79.95,82.93,90.5,71.45,82.73,88.41,77.68,89.73,87.15,87.86,86.8,91.93
letter,69.72,74.65,73.25,71.95,72.77,68.32,87.32,57.29,56.0,49.01,77.99,52.18,69.54,71.15,71.56,73.23
Lymphography,96.93,88.16,99.6,94.67,97.94,93.02,89.37,80.08,50.0,90.6,90.96,97.13,85.98,98.69,93.4,99.72
magic.gamma,62.86,85.0,79.34,82.8,83.35,83.11,87.1,75.87,55.23,86.9,76.9,85.37,83.72,82.77,80.87,84.84
mammography,72.5,91.46,92.42,93.44,93.07,91.69,87.59,90.43,67.1,91.19,78.25,88.8,77.68,72.52,84.9,89.16
mnist,69.06,90.78,96.72,97.63,97.47,93.65,98.17,51.71,89.94,92.08,66.94,95.62,94.35,95.93,96.66,98.09
musk,99.47,98.38,99.28,100.0,100.0,100.0,99.99,93.1,57.33,100.0,80.53,99.95,90.79,88.83,99.98,100.0
optdigits,46.08,98.73,99.94,99.98,99.98,99.94,99.07,91.99,92.18,99.63,72.94,98.13,98.27,87.2,98.52,99.51
PageBlocks,80.2,94.45,93.81,86.77,89.75,93.45,96.07,90.08,72.8,92.57,83.56,89.57,89.3,96.47,96.42,97.77
pendigits,57.1,99.38,99.78,99.86,99.7,99.87,98.97,99.54,89.42,99.3,90.72,99.91,90.75,85.9,99.47,99.73
Pima,60.29,66.07,69.69,76.24,77.35,71.49,73.83,74.76,48.36,58.11,49.26,69.65,69.61,75.29,73.7,75.53
satellite,71.53,91.07,80.74,84.48,83.94,86.78,91.41,79.02,76.9,88.21,81.79,92.62,89.68,89.62,88.98,92.46
satimage-2,96.54,98.0,99.46,98.33,98.59,96.75,98.4,94.0,71.95,96.89,82.68,98.88,93.53,61.69,89.33,99.11
shuttle,68.73,99.01,98.72,97.55,97.69,98.3,99.88,93.94,87.58,97.47,97.64,97.27,90.47,98.67,98.94,99.51
skin,52.26,99.64,90.29,95.7,95.3,98.22,99.58,94.81,99.53,99.14,99.78,99.24,89.54,99.16,99.13,99.84
smtp,51.69,82.74,76.47,75.99,75.24,75.69,79.87,50.0,62.98,86.4,52.83,79.07,83.32,43.01,81.12,78.85
SpamBase,54.01,80.28,87.14,91.35,92.96,83.93,94.64,83.5,69.45,91.92,63.2,91.84,84.55,91.16,88.85,94.32
speech,47.49,54.23,57.89,68.71,70.28,59.51,57.27,58.63,57.79,52.67,52.58,68.65,51.69,52.34,56.02,63.2
Stamps,72.38,85.97,96.92,95.37,96.4,87.25,96.81,84.57,87.03,83.58,60.44,96.29,76.48,95.72,96.5,97.55
thyroid,92.77,97.1,99.7,99.73,99.64,99.46,98.84,99.34,64.11,90.95,74.21,99.61,92.97,95.65,97.97,99.5
vertebral,37.26,68.06,56.21,76.86,78.26,77.24,85.83,83.34,75.85,67.41,62.55,80.82,65.78,82.36,87.31,84.73
vowels,78.52,82.64,92.68,95.69,96.99,93.0,95.74,88.52,79.63,15.44,81.05,84.07,84.8,88.89,91.02,92.56
Waveform,52.95,74.37,83.65,88.17,88.84,77.71,83.77,81.92,80.17,62.68,78.54,80.45,70.38,81.63,82.52,89.82
WBC,93.57,95.88,98.28,98.91,99.03,97.37,87.6,86.84,58.91,90.09,70.28,97.64,86.29,95.8,92.67,99.37
WDBC,97.56,95.51,100.0,100.0,100.0,99.82,97.5,80.99,61.79,33.04,96.76,99.92,96.15,98.4,94.81,99.94
Wilt,47.5,92.05,52.98,68.14,69.06,87.92,90.42,78.61,79.7,65.92,92.41,70.15,82.05,89.13,90.59,95.66
wine,66.14,89.42,99.87,100.0,100.0,100.0,87.18,99.89,45.77,99.2,94.2,99.63,77.52,92.98,91.78,99.69
WPBC,47.62,64.81,63.93,77.76,77.43,73.9,75.0,62.06,40.07,75.14,72.46,66.25,69.37,74.17,77.52,77.39
yeast,48.58,59.53,47.25,64.68,65.55,63.3,59.91,65.71,53.31,53.81,59.68,64.61,57.64,60.25,59.54,66.23
CIFAR10,60.39,66.5,73.8,74.61,69.87,72.96,76.66,52.15,69.04,66.56,58.0,62.54,58.46,74.22,76.08,76.16
FashionMNIST,79.83,88.62,91.59,91.22,90.17,89.01,92.78,53.77,77.62,77.94,62.03,76.32,69.2,90.0,91.42,91.26
MNIST-C,75.07,88.25,82.62,94.0,92.98,91.41,92.46,66.12,86.5,87.15,68.68,87.05,88.19,89.83,92.55,90.57
MVTec-AD,74.25,73.68,73.33,79.21,76.77,70.24,82.61,56.36,68.41,71.6,61.4,70.14,74.67,80.55,82.28,83.92
SVHN,57.61,63.11,70.74,72.18,67.64,70.35,70.22,50.09,63.73,62.61,58.15,63.78,54.21,68.17,70.65,67.61
Agnews,58.77,74.98,88.09,88.18,87.59,83.22,84.99,58.23,81.78,89.63,65.01,76.0,56.24,79.86,84.41,81.34
Amazon,57.8,59.22,77.98,84.97,84.73,80.43,76.04,50.19,74.17,84.54,63.87,65.55,54.48,73.29,77.02,74.21
Imdb,49.39,63.87,74.92,80.8,80.0,76.59,74.83,55.83,77.11,81.21,65.74,63.29,51.96,71.31,74.2,74.95
Yelp,66.76,68.39,87.34,89.48,89.03,85.52,82.23,53.76,81.09,90.32,66.67,74.45,55.79,77.55,82.63,80.41
20news,57.18,64.91,57.15,72.45,69.96,61.6,70.05,56.95,65.03,64.79,58.24,65.84,61.39,72.18,71.7,67.63
