Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,11,6,15,14,16,7,1,12,9,8,10.0,13.0,2,3,5,4
annthyroid,16,10,13,15,14,11,5,12,8,9,7.0,6.0,2,3,1,4
backdoor,16,6,15,9,13,8,10,14,7,5,12.0,11.0,1,2,4,3
breastw,16,14,12,5,4,15,10,9,11,3,13.0,8.0,1,7,6,2
campaign,15,13,16,9,7,14,1,12,11,10,8.0,6.0,5,3,4,2
cardio,15,11,7,9,10,12,1,14,8,13,,4.0,2,5,6,3
Cardiotocography,16,8,10,13,12,15,4,14,9,7,11.0,5.0,2,3,6,1
celeba,15,10,16,3,4,9,1,13,11,6,14.0,7.0,12,2,8,5
census,16,12,15,5,7,10,2,14,9,8,13.0,11.0,6,3,4,1
cover,16,1,7,8,6,13,15,12,2,9,5.0,11.0,4,10,14,3
donors,16,1,15,1,12,1,9,14,1,1,13.0,1.0,10,7,11,8
fault,16,8,12,14,11,13,5,15,9,6,10.0,7.0,2,3,4,1
fraud,8,6,9,7,5,10,3,11,15,13,14.0,4.0,12,16,1,2
glass,16,10,14,15,13,8,5,11,9,12,7.0,4.0,1,1,6,1
Hepatitis,16,9,11,14,12,13,8,15,10,1,1.0,1.0,1,1,1,1
http,12,1,9,1,1,11,13,13,1,16,1.0,1.0,8,15,1,10
InternetAds,15,11,2,1,4,12,7,14,9,10,13.0,,6,8,5,3
Ionosphere,15,7,8,13,14,11,1,16,10,9,12.0,6.0,4,5,2,3
landsat,16,6,15,12,13,11,5,14,10,8,9.0,7.0,3,2,4,1
letter,16,11,8,10,12,14,5,15,13,9,6.0,7.0,2,4,3,1
Lymphography,16,1,1,1,1,1,1,15,1,1,1.0,1.0,1,1,1,1
magic.gamma,16,6,12,14,13,11,4,15,8,5,10.0,9.0,2,3,7,1
mammography,16,2,9,8,12,4,1,11,15,7,10.0,5.0,6,14,13,3
mnist,16,7,10,12,8,14,6,15,4,9,13.0,11.0,2,1,5,3
musk,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1
optdigits,16,2,6,4,3,10,9,15,1,5,14.0,13.0,8,6,12,11
PageBlocks,16,7,12,15,14,11,4,13,9,10,8.0,6.0,3,2,5,1
pendigits,16,3,10,14,13,11,6,15,1,7,12.0,5.0,2,8,9,4
Pima,16,10,15,13,12,14,5,11,7,9,8.0,6.0,1,3,4,2
satellite,16,5,14,13,12,11,6,15,9,10,8.0,7.0,1,3,4,2
satimage-2,14,7,3,4,5,10,1,11,12,13,8.0,16.0,15,9,6,2
shuttle,16,6,9,14,13,11,5,12,7,15,8.0,10.0,2,1,3,4
skin,16,8,15,12,13,11,1,14,5,3,9.0,10.0,7,4,6,2
smtp,16,5,8,11,13,9,6,14,12,9,1.0,7.0,2,15,4,2
SpamBase,16,10,13,14,12,11,3,15,7,5,9.0,8.0,6,2,4,1
speech,16,14,6,2,1,10,9,11,3,4,12.0,8.0,15,13,5,7
Stamps,16,13,12,14,10,15,2,11,9,8,7.0,6.0,4,3,5,1
thyroid,16,15,9,7,11,8,1,13,10,12,14.0,6.0,4,5,2,3
vertebral,16,10,14,15,13,8,3,11,9,12,7.0,6.0,2,5,4,1
vowels,16,14,6,9,7,11,10,13,2,15,8.0,1.0,12,4,5,3
Waveform,16,13,8,7,4,12,5,14,2,1,15.0,10.0,11,6,9,3
WBC,16,13,10,4,11,8,5,14,12,15,2.0,6.0,1,7,9,3
WDBC,16,11,1,1,1,1,15,1,1,1,1.0,1.0,12,14,13,1
Wilt,16,5,15,14,13,10,7,11,3,12,2.0,6.0,8,9,4,1
wine,16,15,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1
WPBC,16,8,14,12,13,10,2,15,9,11,7.0,6.0,3,1,5,4
yeast,15,9,16,12,13,11,5,14,8,10,7.0,6.0,2,3,4,1
CIFAR10,16,11,4,2,8,10,5,15,7,9,13.0,12.0,14,3,6,1
FashionMNIST,15,7,4,1,8,9,5,16,10,11,14.0,12.0,13,2,3,6
MNIST-C,16,6,14,2,8,10,5,15,1,9,12.0,13.0,11,4,3,7
MVTec-AD,15,6,16,11,13,9,5,14,12,10,8.0,7.0,3,4,2,1
SVHN,15,10,2,1,3,9,8,16,7,11,12.0,13.0,14,6,5,4
Agnews,16,10,8,11,12,9,6,15,2,1,7.0,13.0,14,5,4,3
Amazon,15,11,6,2,5,10,9,16,3,1,12.0,13.0,14,7,8,4
Imdb,16,12,8,10,11,6,7,15,2,1,9.0,13.0,14,4,5,3
Yelp,15,11,3,4,10,6,7,16,2,1,13.0,12.0,14,8,9,5
20news,15,5,14,3,4,11,6,16,2,1,10.0,13.0,12,8,9,7
