Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,3.83,6.13,4.54,4.27,4.19,4.71,10.55,3.97,5.67,4.3,3.92,4.07,13.19,9.32,7.79,8.97
annthyroid,41.61,62.35,42.15,44.72,45.01,69.16,80.46,44.24,16.63,58.0,70.09,83.26,81.17,82.87,82.02,82.03
backdoor,8.12,68.46,29.46,90.47,90.23,74.19,71.48,6.55,73.8,76.47,74.24,78.55,87.34,82.65,85.95,87.85
breastw,86.88,93.23,97.22,99.38,98.96,94.72,97.9,99.53,92.66,99.0,82.92,95.91,96.94,98.46,96.98,97.96
campaign,26.41,32.04,15.31,46.25,47.11,32.96,55.33,36.83,32.3,34.32,33.18,38.3,48.6,49.83,45.65,52.73
cardio,41.03,75.75,93.38,87.72,88.74,88.74,88.19,77.51,58.8,82.56,,88.2,87.29,80.24,81.58,88.93
Cardiotocography,35.04,80.55,84.14,84.58,84.51,75.01,82.53,80.64,64.33,85.69,64.76,78.34,81.11,80.61,79.73,84.49
celeba,12.94,22.37,3.27,32.54,31.44,24.2,26.8,12.71,19.71,24.9,14.4,28.0,17.38,27.35,23.36,23.57
census,5.95,27.78,10.21,42.01,40.89,32.77,48.18,11.78,30.02,30.51,19.24,24.46,40.35,41.22,42.39,47.11
cover,0.88,95.03,96.1,96.43,96.02,92.97,88.39,89.6,69.5,87.63,73.81,88.34,88.86,52.38,90.87,88.93
donors,7.76,99.98,17.1,99.92,99.06,99.48,98.69,88.56,96.75,99.7,99.25,99.72,97.08,97.95,96.94,98.98
fault,51.09,59.72,61.67,58.73,63.5,57.74,64.2,53.9,56.45,63.77,56.14,58.76,63.48,63.0,63.73,68.9
fraud,42.37,42.47,42.3,57.37,57.38,52.16,43.86,19.42,27.54,42.39,45.09,57.69,60.68,0.14,48.75,50.16
glass,16.11,33.13,32.26,25.37,41.41,85.77,79.67,58.78,62.17,27.07,90.75,93.46,86.17,90.07,90.09,93.4
Hepatitis,23.13,86.83,96.59,93.43,91.14,90.29,98.15,85.19,38.73,97.25,95.97,94.34,95.1,98.12,98.26,98.64
http,73.48,97.78,93.99,100.0,100.0,92.59,96.68,96.68,61.84,0.37,97.78,100.0,99.44,0.38,100.0,94.12
InternetAds,47.46,62.73,78.38,73.76,70.3,65.19,74.36,31.65,67.22,56.0,55.94,,58.9,71.58,75.66,86.38
Ionosphere,90.04,90.6,96.36,87.54,87.62,92.65,98.44,85.56,85.01,89.59,81.1,90.19,93.59,97.25,96.76,96.31
landsat,21.3,79.94,42.87,55.4,54.06,53.2,78.71,29.27,61.42,73.23,64.93,77.96,77.32,77.05,74.79,82.24
letter,16.29,23.38,31.84,25.85,30.43,27.08,41.96,10.55,25.61,27.57,47.91,35.01,31.91,38.81,38.82,47.06
Lymphography,69.89,84.89,97.12,94.33,96.34,90.6,83.08,95.71,30.75,95.62,85.55,94.9,86.09,92.24,93.2,96.58
magic.gamma,38.47,80.56,74.45,71.68,73.66,75.85,82.82,70.57,59.77,84.83,69.09,79.23,80.4,79.57,74.86,82.59
mammography,16.04,63.05,60.85,59.72,58.75,57.1,60.09,51.35,24.97,59.89,55.05,65.96,58.15,39.6,49.29,60.61
mnist,17.1,85.35,92.54,89.17,91.05,83.11,92.81,23.97,73.26,85.35,63.21,84.26,89.24,90.14,89.81,93.53
musk,87.42,99.88,100.0,100.0,100.0,100.0,100.0,89.98,59.57,100.0,79.45,100.0,97.62,99.61,100.0,100.0
optdigits,3.37,97.96,99.73,99.66,99.71,99.48,93.88,60.59,66.11,98.34,71.06,98.31,93.54,92.87,93.35,97.1
PageBlocks,36.36,80.81,75.58,67.03,68.65,77.69,81.84,53.4,62.54,77.26,79.62,81.53,78.99,82.44,82.89,86.14
pendigits,3.45,98.39,96.77,94.12,94.48,96.71,96.39,94.79,67.08,94.92,92.4,95.84,93.38,91.64,95.36,98.15
Pima,45.05,55.4,54.6,68.77,68.44,62.43,73.06,68.73,51.25,62.82,61.11,62.66,72.25,75.44,71.59,73.17
satellite,66.01,87.57,77.65,82.63,82.35,78.68,89.43,75.52,71.57,86.6,73.74,87.17,88.38,86.97,85.78,88.97
satimage-2,44.59,94.84,94.91,95.37,93.85,94.4,90.17,91.72,63.46,86.06,75.74,93.77,88.86,75.14,92.05,86.79
shuttle,36.84,97.96,97.27,96.47,96.41,97.1,99.25,95.41,65.1,95.96,95.71,96.47,96.46,98.68,98.69,99.11
skin,22.0,98.61,50.32,72.12,67.95,90.38,99.43,87.17,97.29,98.24,98.39,98.76,95.13,98.62,98.62,99.5
smtp,21.46,61.13,41.68,50.02,66.68,17.05,50.02,0.04,17.73,38.92,11.71,33.94,50.01,0.04,50.01,28.13
SpamBase,41.92,83.84,84.01,86.35,89.22,86.42,95.07,66.33,70.79,92.43,78.7,88.82,89.38,92.4,90.44,95.5
speech,1.62,3.81,20.75,12.56,12.46,8.67,5.53,10.63,17.59,4.96,14.79,7.09,4.25,4.91,3.85,3.39
Stamps,31.04,56.52,81.96,76.9,81.92,82.21,87.87,82.29,62.11,85.36,80.4,91.24,78.03,91.29,89.53,92.59
thyroid,54.2,83.7,84.26,94.03,92.38,91.44,90.64,90.64,61.71,88.48,78.82,94.73,87.41,87.44,93.85,92.0
vertebral,10.84,39.9,43.61,42.27,42.3,55.5,84.67,49.93,49.61,19.76,73.51,67.18,76.71,82.82,83.51,85.53
vowels,26.01,44.38,83.42,85.04,87.29,77.38,69.89,66.13,61.97,2.16,77.68,85.21,53.71,69.04,64.99,75.03
Waveform,4.45,28.2,19.63,21.64,21.48,23.31,33.21,17.84,36.9,19.28,24.56,28.7,25.72,30.35,29.8,35.17
WBC,42.75,64.57,80.4,86.3,87.76,75.07,80.64,83.8,57.4,69.26,70.07,84.64,83.51,83.3,83.61,90.25
WDBC,59.41,75.75,100.0,100.0,100.0,100.0,92.74,91.33,65.47,97.73,84.18,99.22,96.07,97.37,91.84,100.0
Wilt,4.04,67.79,8.32,8.11,8.4,37.53,77.68,37.08,32.53,8.15,69.38,10.65,68.56,69.07,69.19,79.52
wine,16.12,73.82,100.0,100.0,100.0,100.0,97.04,100.0,44.06,98.94,98.39,100.0,90.01,96.55,96.43,99.94
WPBC,22.73,56.46,54.11,59.75,59.76,57.91,82.62,43.33,53.72,64.61,83.56,77.41,79.13,82.34,82.43,85.03
yeast,33.12,45.38,36.21,47.55,48.22,51.89,52.37,45.7,39.58,45.9,52.05,52.98,49.27,50.75,50.83,58.35
CIFAR10,9.28,19.13,30.37,31.07,30.1,26.75,29.24,5.56,21.44,20.27,15.78,14.25,11.45,27.61,27.64,29.62
FashionMNIST,21.17,62.87,77.05,79.97,77.72,70.89,73.9,13.46,50.32,56.68,45.81,49.73,46.33,72.12,73.06,75.42
MNIST-C,24.86,72.18,41.72,84.7,84.19,80.97,80.04,24.71,65.85,75.69,53.85,69.89,74.13,78.47,79.89,79.46
MVTec-AD,57.98,73.33,55.46,77.29,74.61,72.21,81.28,32.75,61.1,71.39,66.66,73.22,77.21,80.0,81.28,82.36
SVHN,7.93,16.07,24.51,27.06,26.68,22.5,19.72,5.19,20.64,18.74,16.64,12.76,9.35,20.28,20.8,20.51
Agnews,7.28,52.97,53.35,54.6,55.92,57.65,45.38,8.56,46.99,64.87,42.92,38.17,11.38,40.86,44.3,47.01
Amazon,6.04,16.95,27.75,30.39,29.65,25.77,22.95,5.41,22.32,37.26,17.21,13.8,6.9,19.19,22.68,23.89
Imdb,4.83,18.16,21.82,23.88,23.47,27.31,22.36,5.82,23.31,33.11,23.81,13.84,6.63,20.19,22.47,23.06
Yelp,9.08,23.77,42.56,41.01,42.21,39.34,35.1,5.86,31.82,53.8,29.04,27.98,8.84,30.68,33.74,34.8
20news,7.28,18.37,7.2,28.3,30.92,26.57,22.22,5.26,20.84,34.04,21.36,14.13,15.73,21.6,23.32,20.01
