Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,16,6,9,11,12,8,2,14,7,10,15.0,13.0,1,3,5,4
annthyroid,15,9,14,12,11,8,6,13,16,10,7.0,1.0,5,2,4,3
backdoor,15,13,14,1,2,10,12,16,11,8,9.0,7.0,4,6,5,3
breastw,15,13,8,2,4,12,7,1,14,3,16.0,11.0,10,5,9,6
campaign,15,14,16,6,5,12,1,9,13,10,11.0,8.0,4,3,7,2
cardio,15,13,1,7,4,3,6,12,14,9,,5.0,8,11,10,2
Cardiotocography,16,10,5,2,3,13,6,8,15,1,14.0,12.0,7,9,11,4
celeba,14,10,16,1,2,7,5,15,11,6,13.0,3.0,12,4,9,8
census,16,11,15,4,6,8,1,14,10,9,13.0,12.0,7,5,3,2
cover,16,4,2,1,3,5,10,7,14,12,13.0,11.0,9,15,6,8
donors,16,1,15,2,7,5,9,14,13,4,6.0,3.0,11,10,12,8
fault,16,9,8,11,5,12,2,15,13,3,14.0,10.0,6,7,4,1
fraud,12,10,13,4,3,5,9,15,14,11,8.0,2.0,1,16,7,6
glass,16,12,13,15,11,7,8,10,9,14,3.0,1.0,6,5,4,2
Hepatitis,16,13,6,10,11,12,3,14,15,5,7.0,9.0,8,4,2,1
http,13,6,11,1,1,12,8,8,14,16,6.0,1.0,5,15,1,10
InternetAds,14,10,2,5,7,9,4,15,8,12,13.0,,11,6,3,1
Ionosphere,10,8,4,13,12,7,1,14,15,11,16.0,9.0,6,2,3,5
landsat,16,2,14,11,12,13,3,15,10,8,9.0,4.0,5,6,7,1
letter,15,14,8,12,9,11,3,16,13,10,1.0,6.0,7,5,4,2
Lymphography,15,13,1,7,3,10,14,4,16,5,12.0,6.0,11,9,8,2
magic.gamma,16,4,10,12,11,8,2,13,15,1,14.0,7.0,5,6,9,3
mammography,16,2,3,7,8,10,5,12,15,6,11.0,1.0,9,14,13,4
mnist,16,10,3,8,4,12,2,15,13,9,14.0,11.0,7,5,6,1
musk,14,10,3,3,3,3,1,13,16,3,15.0,3.0,12,11,1,3
optdigits,16,7,1,3,2,4,9,15,14,5,13.0,6.0,10,12,11,8
PageBlocks,16,6,11,13,12,9,4,15,14,10,7.0,5.0,8,3,2,1
pendigits,16,1,3,11,10,4,5,9,15,8,13.0,6.0,12,14,7,2
Pima,16,13,14,6,8,11,3,7,15,9,12.0,10.0,4,1,5,2
satellite,16,4,12,9,10,11,1,13,15,7,14.0,5.0,3,6,8,2
satimage-2,16,3,2,1,5,4,9,8,15,12,13.0,6.0,10,14,7,11
shuttle,16,5,6,9,11,7,1,14,15,12,13.0,8.0,10,4,3,2
skin,16,6,15,13,14,11,2,12,9,8,7.0,3.0,10,4,5,1
smtp,11,2,7,4,1,13,3,15,12,8,14.0,9.0,5,15,5,10
SpamBase,16,12,11,10,7,9,2,15,14,3,13.0,8.0,6,4,5,1
speech,16,14,1,4,5,7,9,6,2,10,3.0,8.0,12,11,13,15
Stamps,16,15,9,13,10,8,5,7,14,6,11.0,3.0,12,2,4,1
thyroid,16,13,12,2,4,6,7,8,15,9,14.0,1.0,11,10,3,5
vertebral,16,14,11,13,12,8,2,9,10,15,6.0,7.0,5,4,3,1
vowels,15,14,4,3,1,6,8,10,12,16,5.0,2.0,13,9,11,7
Waveform,16,7,13,11,12,10,3,15,1,14,9.0,6.0,8,4,5,2
WBC,16,14,10,3,2,11,9,5,15,13,12.0,4.0,7,8,6,1
WDBC,16,14,1,1,1,1,10,12,15,7,13.0,6.0,9,8,11,1
Wilt,16,7,13,15,12,8,2,9,10,14,3.0,11.0,6,5,4,1
wine,16,14,1,1,1,1,10,1,15,8,9.0,1.0,13,11,12,7
WPBC,16,12,13,10,9,11,3,15,14,8,2.0,7.0,6,5,4,1
yeast,16,13,15,10,9,5,3,12,14,11,4.0,2.0,8,7,6,1
CIFAR10,15,11,2,1,3,8,5,16,9,10,12.0,13.0,14,7,6,4
FashionMNIST,15,9,3,1,2,8,5,16,11,10,14.0,12.0,13,7,6,4
MNIST-C,15,10,14,1,2,3,4,16,12,8,13.0,11.0,9,7,5,6
MVTec-AD,14,8,15,5,7,10,2,16,13,11,12.0,9.0,6,4,3,1
SVHN,15,12,3,1,2,4,9,16,6,10,11.0,13.0,14,8,5,7
Agnews,16,6,5,4,3,2,9,15,8,1,11.0,13.0,14,12,10,7
Amazon,15,12,4,2,3,5,7,16,9,1,11.0,13.0,14,10,8,6
Imdb,16,12,10,3,5,2,9,15,6,1,4.0,13.0,14,11,8,7
Yelp,14,13,2,4,3,5,6,16,9,1,11.0,12.0,15,10,8,7
20news,14,11,15,3,2,4,6,16,9,1,8.0,13.0,12,7,5,10
