Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,11,4,9,8,7,14,1,15,16,12,10.0,13.0,3,6,2,5
annthyroid,12,11,14,8,9,6,2,10,16,15,13.0,3.0,7,5,4,1
backdoor,16,7,15,3,2,1,8,14,9,4,13.0,5.0,12,11,6,10
breastw,12,13,4,2,8,7,9,1,15,6,16.0,11.0,14,5,10,3
campaign,14,10,16,6,5,8,1,12,11,9,15.0,13.0,7,4,3,2
cardio,15,13,4,1,3,6,5,11,14,8,,7.0,9,12,10,2
Cardiotocography,16,12,3,1,2,8,10,4,14,6,15.0,9.0,13,11,7,5
celeba,11,12,16,2,1,3,6,10,14,4,15.0,5.0,13,8,7,9
census,16,12,14,5,6,7,2,15,8,10,13.0,11.0,9,3,1,4
cover,16,9,1,3,4,7,8,10,13,14,11.0,2.0,12,15,5,6
donors,16,5,15,1,3,2,7,10,13,6,8.0,4.0,14,12,11,9
fault,12,9,4,5,2,10,6,14,15,8,16.0,11.0,13,3,7,1
fraud,6,13,7,3,1,2,10,15,14,8,12.0,4.0,5,15,11,9
glass,16,14,13,12,10,2,5,6,8,15,3.0,11.0,9,7,4,1
Hepatitis,15,14,4,6,8,11,5,12,16,7,9.0,10.0,13,1,2,3
http,13,12,10,1,1,7,8,8,14,16,1.0,1.0,6,15,1,11
InternetAds,7,5,2,8,10,6,3,15,9,14,13.0,,11,12,4,1
Ionosphere,3,9,2,10,11,15,4,7,8,12,16.0,13.0,14,5,6,1
landsat,16,4,14,13,11,7,2,15,10,9,12.0,3.0,8,5,6,1
letter,8,6,10,3,5,7,2,15,16,14,1.0,12.0,13,4,11,9
Lymphography,10,15,6,3,7,2,12,14,16,9,8.0,4.0,13,5,11,1
magic.gamma,15,8,6,5,3,2,4,10,16,1,14.0,9.0,12,11,13,7
mammography,16,8,3,1,2,4,10,5,15,6,11.0,7.0,14,13,12,9
mnist,15,13,5,1,4,9,3,16,12,10,14.0,7.0,11,8,6,2
musk,11,10,9,1,1,1,6,12,16,1,15.0,5.0,13,14,7,8
optdigits,16,11,4,1,2,3,8,13,12,5,15.0,6.0,10,14,9,7
PageBlocks,15,3,7,10,4,2,8,13,16,6,12.0,11.0,14,9,5,1
pendigits,16,10,1,3,4,2,11,5,13,9,14.0,6.0,12,15,7,8
Pima,13,11,8,1,2,12,7,3,15,16,14.0,9.0,10,4,6,5
satellite,15,9,8,3,4,7,2,11,16,1,14.0,6.0,13,10,12,5
satimage-2,14,7,4,2,3,1,8,10,15,11,12.0,5.0,13,16,9,6
shuttle,16,4,3,6,7,8,1,13,12,10,5.0,9.0,15,14,11,2
skin,16,7,15,12,13,9,4,10,3,11,1.0,6.0,14,5,8,2
smtp,11,2,7,4,1,13,3,15,12,8,14.0,9.0,5,15,5,10
SpamBase,16,14,9,3,2,7,4,12,13,5,15.0,6.0,11,8,10,1
speech,16,12,4,3,2,5,9,15,1,6,7.0,8.0,14,13,10,11
Stamps,14,16,4,6,2,9,7,1,15,13,11.0,3.0,12,10,8,5
thyroid,11,10,3,1,2,4,7,6,15,14,16.0,5.0,12,13,8,9
vertebral,16,14,13,8,11,4,10,6,9,15,7.0,2.0,12,5,1,3
vowels,11,15,5,2,1,6,7,12,14,16,4.0,8.0,10,9,13,3
Waveform,16,2,8,5,9,12,4,7,11,15,10.0,1.0,13,14,6,3
WBC,14,9,5,2,4,6,13,15,16,12,11.0,3.0,7,8,10,1
WDBC,11,13,5,1,3,4,10,14,15,16,12.0,2.0,7,6,9,8
Wilt,16,9,15,12,11,5,6,8,7,13,2.0,14.0,10,3,4,1
wine,14,13,3,1,1,4,11,7,15,16,9.0,5.0,12,10,8,6
WPBC,15,13,12,8,4,10,3,11,16,14,1.0,7.0,9,5,2,6
yeast,16,13,14,1,3,5,10,2,4,15,12.0,7.0,9,8,11,6
CIFAR10,14,12,6,1,3,5,2,16,10,9,11.0,13.0,15,8,4,7
FashionMNIST,14,8,7,1,2,6,3,16,13,10,12.0,11.0,15,9,4,5
MNIST-C,14,10,13,1,2,3,4,16,12,7,15.0,9.0,8,11,5,6
MVTec-AD,5,11,8,6,7,12,3,16,15,13,14.0,10.0,9,4,2,1
SVHN,13,12,3,1,2,4,6,16,7,11,10.0,14.0,15,8,5,9
Agnews,14,12,4,2,1,5,6,16,8,3,11.0,13.0,15,10,7,9
Amazon,14,13,8,2,1,4,6,16,5,3,11.0,12.0,15,10,7,9
Imdb,16,12,5,1,2,3,9,15,7,6,8.0,13.0,14,11,10,4
Yelp,14,13,5,2,3,4,7,16,8,1,9.0,10.0,15,11,6,12
20news,13,9,15,1,2,10,4,16,12,8,6.0,14.0,11,7,3,5
