Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,3,2,5,15,16,4,1,13,8,14,12.0,9.0,10,11,7,6
annthyroid,9,7,11,10,8,5,2,4,15,12,16.0,6.0,14,13,3,1
backdoor,9,3,5,2,1,7,6,13,10,4,12.0,14.0,15,16,8,11
breastw,3,5,7,10,12,9,6,16,11,15,14.0,2.0,13,4,8,1
campaign,12,7,11,6,5,10,2,14,16,9,15.0,8.0,13,4,3,1
cardio,6,12,5,2,3,8,4,15,7,14,,9.0,13,11,10,1
Cardiotocography,15,12,3,2,4,10,9,7,14,16,11.0,6.0,13,8,5,1
celeba,2,14,13,5,6,7,4,15,11,8,9.0,10.0,12,16,3,1
census,12,11,8,5,10,9,3,16,14,4,15.0,7.0,13,6,2,1
cover,16,9,4,2,3,10,8,14,11,7,13.0,1.0,12,15,6,5
donors,15,4,10,2,1,6,8,9,16,12,13.0,3.0,14,11,7,5
fault,2,1,3,4,6,8,10,5,16,14,15.0,9.0,13,12,11,7
fraud,5,9,2,7,3,12,6,15,1,10,14.0,13.0,11,16,8,4
glass,15,13,6,4,2,12,11,16,9,10,8.0,5.0,14,7,3,1
Hepatitis,13,11,7,9,8,15,4,14,16,6,10.0,5.0,12,2,3,1
http,9,8,7,1,1,6,11,14,13,16,1.0,5.0,12,15,1,10
InternetAds,4,2,6,13,11,7,5,14,8,15,12.0,,10,9,3,1
Ionosphere,1,9,3,13,14,16,5,15,7,8,11.0,10.0,12,6,4,2
landsat,16,3,14,7,4,11,2,5,15,8,13.0,6.0,12,9,10,1
letter,4,2,6,12,13,9,3,14,15,16,1.0,11.0,10,8,7,5
Lymphography,4,10,7,9,11,8,2,14,16,15,12.0,6.0,13,3,5,1
magic.gamma,14,6,7,1,2,11,5,4,16,13,15.0,3.0,12,9,10,8
mammography,8,6,3,4,5,2,7,10,13,16,12.0,9.0,14,15,11,1
mnist,11,8,5,7,6,10,2,14,12,3,13.0,9.0,15,16,4,1
musk,3,11,12,10,1,9,8,15,16,6,5.0,4.0,13,14,7,2
optdigits,15,10,4,1,2,3,8,14,9,11,13.0,5.0,12,16,7,6
PageBlocks,6,4,2,8,7,12,5,11,14,16,15.0,9.0,13,10,3,1
pendigits,12,7,4,3,6,10,5,13,14,9,15.0,2.0,11,16,8,1
Pima,8,10,2,7,11,9,3,12,15,16,14.0,4.0,13,5,6,1
satellite,13,6,8,1,2,7,4,5,16,9,15.0,10.0,14,11,12,3
satimage-2,7,9,8,3,2,4,5,14,15,12,11.0,6.0,13,16,10,1
shuttle,14,2,1,8,6,5,4,10,11,16,12.0,7.0,15,13,9,3
skin,16,5,12,7,9,6,13,10,1,11,4.0,3.0,15,14,8,2
smtp,14,3,8,9,10,11,5,15,12,1,13.0,6.0,2,16,4,7
SpamBase,14,13,8,2,4,11,5,10,16,9,15.0,3.0,12,6,7,1
speech,14,7,8,3,1,5,4,12,2,15,10.0,6.0,13,11,16,9
Stamps,9,13,2,5,4,10,6,16,12,15,8.0,1.0,14,11,7,3
thyroid,6,7,2,4,3,10,9,15,14,11,13.0,8.0,12,16,5,1
vertebral,16,11,15,6,3,1,8,13,5,2,10.0,9.0,14,7,4,12
vowels,9,6,8,7,1,3,2,15,14,16,5.0,11.0,13,12,10,4
Waveform,11,7,9,1,2,15,5,16,8,10,3.0,4.0,13,12,14,6
WBC,8,9,5,1,4,10,7,16,15,14,11.0,2.0,13,12,6,3
WDBC,7,11,5,1,3,4,10,15,14,16,13.0,2.0,12,9,8,6
Wilt,16,9,15,7,5,10,11,4,1,6,2.0,12.0,13,14,3,8
wine,11,12,5,2,1,4,8,14,15,16,9.0,3.0,13,10,6,7
WPBC,15,11,13,2,1,3,8,6,12,16,4.0,5.0,7,10,9,14
yeast,14,12,15,4,5,7,6,3,1,8,16.0,2.0,11,9,13,10
CIFAR10,9,7,4,11,13,8,3,16,6,12,10.0,5.0,15,14,2,1
FashionMNIST,5,3,7,8,9,6,2,16,12,10,14.0,11.0,13,15,4,1
MNIST-C,11,9,6,1,4,10,2,15,13,7,16.0,8.0,12,14,5,3
MVTec-AD,2,4,3,8,5,12,7,16,15,11,14.0,9.0,13,10,6,1
SVHN,8,9,2,3,10,7,5,16,15,11,12.0,4.0,14,13,6,1
Agnews,12,10,3,2,1,9,5,15,6,11,4.0,13.0,16,14,7,8
Amazon,12,11,7,2,1,3,6,14,16,13,5.0,8.0,15,10,4,9
Imdb,16,11,8,1,2,6,5,10,7,12,4.0,14.0,15,9,3,13
Yelp,8,12,5,1,2,3,7,13,16,10,9.0,11.0,15,14,6,4
20news,4,3,6,1,2,10,7,15,13,5,9.0,16.0,11,14,12,8
