Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,56.22,66.49,51.94,52.85,50.82,63.28,80.73,53.69,58.62,59.71,57.35,53.21,79.83,74.51,73.38,73.46
annthyroid,81.51,97.38,83.51,82.15,83.14,93.21,99.38,84.48,98.1,97.96,98.61,99.1,99.46,99.44,99.47,99.42
backdoor,86.89,98.69,89.62,97.91,94.93,98.56,97.52,93.9,98.56,98.88,96.33,96.96,99.95,99.73,99.6,99.64
breastw,95.04,99.22,99.46,99.73,99.74,98.76,99.68,99.69,99.55,99.75,99.39,99.7,99.79,99.7,99.71,99.78
campaign,66.24,81.12,58.0,87.18,88.34,76.61,93.54,81.89,84.32,86.75,88.03,90.05,91.84,93.29,92.47,93.52
cardio,87.07,98.39,99.27,98.8,98.56,97.84,99.57,94.77,99.25,97.39,,99.42,99.48,99.35,99.34,99.47
Cardiotocography,60.68,96.59,96.1,95.11,95.25,94.09,97.6,94.31,96.57,96.93,95.84,97.48,97.96,97.79,97.45,98.13
celeba,63.72,93.78,57.64,95.82,95.78,93.98,96.28,89.66,91.94,95.47,86.43,95.43,90.59,96.18,95.15,95.74
census,63.95,85.99,69.68,92.33,91.29,87.55,93.16,73.51,88.61,89.06,79.6,87.17,92.22,92.85,92.58,93.55
cover,42.57,99.98,99.95,99.95,99.96,99.8,99.72,99.89,99.97,99.95,99.96,99.94,99.96,99.95,99.78,99.97
donors,56.37,100.0,82.83,100.0,99.95,100.0,100.0,99.6,100.0,100.0,99.83,100.0,99.99,100.0,99.99,100.0
fault,67.43,81.36,77.04,75.54,78.07,76.71,83.1,69.77,80.51,82.96,78.39,82.07,86.7,85.46,84.68,86.93
fraud,91.03,92.66,90.93,92.36,92.95,89.44,96.68,89.19,82.81,83.67,82.89,93.45,88.05,69.55,97.91,97.81
glass,68.7,97.73,88.86,88.6,90.29,99.65,99.98,93.74,99.14,90.53,99.96,99.99,100.0,100.0,99.97,100.0
Hepatitis,69.27,99.92,99.78,98.86,99.36,99.14,99.93,97.1,99.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0
http,99.8,100.0,99.98,100.0,100.0,99.93,98.33,98.33,100.0,66.82,100.0,100.0,100.0,78.47,100.0,99.97
InternetAds,69.5,93.9,96.22,96.23,95.92,93.34,94.86,81.88,94.14,94.09,90.88,,94.89,94.47,95.14,95.99
Ionosphere,93.59,98.34,98.27,94.44,94.08,97.6,99.24,91.4,97.8,98.21,97.36,98.78,99.15,98.99,99.21,99.21
landsat,57.2,95.27,63.11,80.53,80.14,86.7,95.39,71.73,93.07,94.11,93.36,94.86,96.03,96.16,95.89,96.42
letter,70.42,86.83,88.48,87.56,86.46,84.29,93.35,75.45,85.08,87.6,91.66,90.85,95.39,93.39,93.86,96.49
Lymphography,98.31,100.0,100.0,100.0,100.0,100.0,100.0,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
magic.gamma,58.56,90.86,83.36,83.14,83.19,84.17,90.97,77.08,90.47,90.88,88.91,89.92,91.88,91.64,90.6,92.25
mammography,75.53,95.71,93.01,93.1,92.81,95.62,95.71,92.82,81.77,93.34,92.92,95.22,93.46,90.41,92.67,95.67
mnist,68.69,99.48,99.31,98.99,99.32,97.65,99.53,94.97,99.56,99.32,97.75,99.04,99.72,99.73,99.55,99.71
musk,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
optdigits,47.52,99.99,99.98,99.99,99.99,99.98,99.98,94.53,100.0,99.98,99.1,99.76,99.98,99.98,99.97,99.97
PageBlocks,79.45,98.08,95.25,89.15,90.1,95.55,98.73,92.29,96.88,96.49,97.61,98.44,98.78,98.82,98.62,99.05
pendigits,62.56,99.99,99.91,99.79,99.82,99.91,99.97,99.62,100.0,99.95,99.9,99.97,99.99,99.95,99.91,99.99
Pima,65.2,83.81,75.97,83.25,83.38,82.79,90.47,83.47,86.61,84.51,85.94,88.07,93.84,92.0,91.3,92.02
satellite,77.11,96.22,81.55,84.27,84.99,86.32,96.03,78.66,94.43,91.78,94.6,95.88,97.08,96.59,96.56,96.98
satimage-2,97.7,99.09,99.4,99.4,99.24,98.39,99.74,98.2,98.14,97.97,98.85,97.11,97.57,98.78,99.1,99.7
shuttle,78.8,99.43,98.6,97.57,97.59,98.2,99.99,97.74,98.89,97.56,98.75,98.55,100.0,100.0,99.99,99.99
skin,52.94,99.92,89.3,95.77,95.28,98.77,99.97,93.9,99.94,99.96,99.9,99.89,99.93,99.94,99.93,99.96
smtp,55.3,99.23,91.98,85.48,78.88,86.42,98.76,59.01,84.13,86.42,100.0,95.83,99.99,56.21,99.7,99.99
SpamBase,59.25,95.94,93.2,92.03,94.01,94.35,97.88,84.31,96.61,97.33,96.05,96.35,97.28,97.95,97.58,98.14
speech,47.76,63.41,79.23,84.01,85.32,75.16,77.09,74.49,82.3,81.29,73.85,77.27,60.6,69.39,79.68,77.38
Stamps,76.83,98.69,98.7,98.42,99.08,98.34,99.88,99.08,99.2,99.21,99.67,99.75,99.86,99.88,99.85,99.93
thyroid,93.27,99.55,99.8,99.82,99.77,99.8,99.95,99.65,99.77,99.72,99.58,99.86,99.89,99.89,99.93,99.92
vertebral,40.75,92.02,81.76,81.74,82.32,93.53,99.14,86.78,92.61,84.63,97.89,98.29,99.25,98.82,98.82,99.35
vowels,80.17,95.53,99.2,98.82,98.87,98.41,98.59,97.48,99.72,95.52,98.84,99.88,97.49,99.57,99.22,99.62
Waveform,52.9,90.76,92.28,92.43,93.48,90.76,93.3,90.38,94.22,96.39,83.91,91.53,90.98,93.12,92.01,93.7
WBC,95.93,98.93,99.18,99.73,99.1,99.38,99.69,98.91,98.97,98.85,99.91,99.63,99.93,99.4,99.31,99.82
WDBC,97.85,99.99,100.0,100.0,100.0,100.0,99.52,100.0,100.0,100.0,100.0,100.0,99.99,99.95,99.96,100.0
Wilt,46.01,98.8,59.8,68.15,69.1,93.06,98.56,82.67,98.88,82.43,99.01,98.71,98.56,98.29,98.81,99.02
wine,74.38,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WPBC,49.93,95.22,80.56,84.11,84.08,91.45,98.83,71.44,91.87,90.37,96.87,97.27,98.68,99.33,98.37,98.59
yeast,49.05,70.94,46.84,69.04,68.99,70.32,74.72,67.26,71.09,70.58,71.47,72.29,75.8,74.97,74.75,78.02
CIFAR10,61.85,80.15,86.13,86.6,84.02,81.32,85.87,66.03,84.43,81.41,74.42,74.91,73.82,86.27,85.56,86.81
FashionMNIST,80.23,96.0,96.64,96.81,95.94,95.39,96.59,72.55,94.54,93.72,91.8,93.53,92.88,96.77,96.71,96.36
MNIST-C,72.71,95.53,82.88,95.86,95.32,94.66,95.61,75.87,96.04,95.25,94.13,93.45,94.54,95.7,95.82,95.42
MVTec-AD,74.57,96.6,73.9,93.84,92.35,94.07,97.67,77.46,93.22,94.06,94.82,95.42,97.83,97.76,97.87,98.27
