Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,14,2,6,15,13,4,1,16,3,11,7.0,12.0,8,9,10,5
annthyroid,5,9,11,8,6,7,1,4,15,16,14.0,10.0,12,13,3,2
backdoor,16,7,10,1,2,4,12,11,5,3,8.0,9.0,14,15,6,13
breastw,3,9,7,10,12,8,5,14,11,13,16.0,2.0,15,4,6,1
campaign,7,9,13,6,5,8,2,16,15,10,14.0,11.0,12,4,3,1
cardio,10,12,4,2,3,5,6,14,9,15,,7.0,13,8,11,1
Cardiotocography,15,12,5,2,4,9,10,7,13,16,11.0,3.0,14,8,6,1
celeba,6,13,15,1,2,3,7,16,9,10,8.0,11.0,12,14,4,5
census,15,13,12,6,9,5,3,16,10,7,14.0,8.0,11,4,1,2
cover,16,10,6,2,3,7,5,15,11,9,13.0,1.0,12,14,4,8
donors,15,6,14,3,1,2,9,5,16,13,11.0,4.0,12,10,8,7
fault,3,1,2,5,4,9,10,7,16,15,14.0,8.0,13,11,12,6
fraud,6,13,7,3,1,2,10,15,14,8,12.0,4.0,5,15,11,9
glass,16,15,11,13,8,1,3,14,2,12,9.0,10.0,6,7,4,5
Hepatitis,14,12,8,7,6,10,2,15,16,11,9.0,5.0,13,3,1,4
http,11,10,7,1,1,6,8,13,14,16,1.0,5.0,12,15,1,9
InternetAds,3,4,5,10,9,6,7,14,8,15,11.0,,13,12,2,1
Ionosphere,1,3,8,13,12,14,6,16,9,4,11.0,10.0,15,7,5,2
landsat,16,4,15,9,11,7,2,8,12,3,13.0,10.0,14,6,5,1
letter,4,3,9,7,5,6,2,16,10,15,1.0,13.0,14,8,11,12
Lymphography,6,14,8,10,11,7,2,15,16,12,9.0,4.0,13,3,5,1
magic.gamma,16,5,4,2,1,8,7,3,14,12,15.0,6.0,13,9,11,10
mammography,13,7,4,3,6,1,10,8,12,16,11.0,2.0,14,15,9,5
mnist,16,10,7,2,3,6,5,15,12,4,11.0,9.0,13,14,8,1
musk,2,12,13,6,1,5,8,16,15,9,3.0,7.0,14,11,10,4
optdigits,16,13,4,1,2,3,8,14,10,9,12.0,5.0,11,15,6,7
PageBlocks,7,3,2,8,6,12,5,11,13,15,14.0,9.0,16,10,4,1
pendigits,15,8,4,2,1,5,6,13,10,14,9.0,3.0,12,16,7,11
Pima,11,10,2,7,9,12,3,8,15,16,13.0,6.0,14,5,4,1
satellite,10,9,5,1,2,3,6,4,16,12,14.0,7.0,15,11,13,8
satimage-2,10,11,7,3,2,1,9,16,13,15,8.0,5.0,12,14,6,4
shuttle,14,4,1,2,3,5,7,10,12,15,11.0,6.0,16,13,9,8
skin,16,8,14,10,11,5,9,6,1,13,3.0,4.0,15,12,7,2
smtp,12,2,7,4,1,11,3,15,13,8,14.0,9.0,5,15,5,10
SpamBase,15,13,8,2,3,9,5,11,16,10,14.0,4.0,12,7,6,1
speech,15,5,6,3,4,2,7,14,1,11,10.0,9.0,13,12,16,8
Stamps,9,15,1,4,3,6,10,16,5,13,11.0,2.0,14,12,8,7
thyroid,8,10,2,3,1,5,9,15,14,12,11.0,7.0,13,15,4,6
vertebral,16,13,11,2,3,1,10,14,8,12,6.0,9.0,14,5,4,7
vowels,10,14,8,6,2,1,5,15,13,16,4.0,11.0,12,9,7,3
Waveform,10,2,9,3,7,14,4,16,8,13,1.0,5.0,15,11,12,6
WBC,12,10,6,2,4,7,8,16,15,13,11.0,3.0,14,9,1,5
WDBC,11,13,5,1,3,4,10,14,15,16,12.0,2.0,7,6,9,8
Wilt,16,8,15,10,11,7,5,6,4,12,1.0,14.0,9,13,3,2
wine,14,13,5,2,1,3,7,12,15,16,10.0,4.0,11,8,6,9
WPBC,15,13,7,3,2,4,6,9,14,16,1.0,5.0,11,8,10,12
yeast,14,13,16,5,6,7,3,2,1,12,15.0,4.0,11,9,10,8
CIFAR10,12,13,8,3,7,1,2,16,6,10,11.0,9.0,15,14,5,4
FashionMNIST,11,7,10,4,3,1,2,16,13,8,12.0,9.0,15,14,5,6
MNIST-C,12,10,9,1,2,5,3,16,11,6,15.0,8.0,13,14,4,7
MVTec-AD,2,5,3,7,8,6,10,16,15,9,14.0,4.0,13,11,12,1
SVHN,11,12,5,1,4,2,6,16,14,9,10.0,3.0,15,13,7,8
Agnews,14,9,4,2,1,3,7,15,5,11,6.0,13.0,16,12,8,10
Amazon,13,10,6,2,1,3,7,14,16,11,4.0,8.0,15,9,5,12
Imdb,16,10,8,1,3,7,6,13,2,11,4.0,12.0,15,9,5,14
Yelp,12,11,4,1,2,3,6,15,14,10,5.0,9.0,16,13,7,8
20news,14,1,9,2,3,7,12,16,6,10,13.0,15.0,5,4,8,11
