Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,55.53,59.13,54.53,47.03,46.47,55.06,60.53,49.31,52.42,48.5,49.89,51.74,51.04,50.6,53.08,53.22
annthyroid,75.67,76.82,72.2,74.78,75.95,77.66,92.89,80.62,59.25,62.84,52.04,76.97,60.93,62.62,89.91,95.58
backdoor,82.28,91.98,89.44,92.91,94.23,82.6,85.67,63.1,80.03,89.69,71.15,62.89,58.05,37.26,82.55,76.47
breastw,91.99,88.36,86.03,74.61,69.24,78.39,86.57,52.11,71.27,52.59,53.6,95.7,65.01,90.2,84.81,97.3
campaign,56.58,64.32,57.57,66.2,67.62,58.45,74.21,51.87,47.2,60.69,49.37,61.16,56.28,68.27,73.81,81.61
cardio,82.03,69.21,83.07,89.74,87.54,79.57,83.94,58.89,79.91,61.55,,75.38,63.98,73.56,74.67,94.01
Cardiotocography,53.99,64.94,81.22,81.91,79.33,70.67,71.54,76.0,54.85,48.18,65.16,76.31,60.95,75.31,78.81,85.89
celeba,81.23,54.65,54.85,73.84,71.65,71.59,74.86,50.71,55.0,62.62,59.78,55.63,54.91,29.53,78.0,81.5
census,58.91,60.87,68.18,73.8,66.57,67.16,77.2,50.66,54.87,76.76,51.06,70.22,58.28,71.26,79.67,84.53
cover,42.98,87.11,98.6,99.04,98.63,86.37,92.92,50.0,80.88,93.84,62.0,99.8,62.41,43.18,96.09,97.9
donors,49.17,97.54,82.72,99.71,99.89,96.82,95.52,95.34,0.89,70.69,60.51,97.89,60.49,77.58,96.18,96.98
fault,63.88,67.84,63.79,61.7,61.19,56.16,54.62,61.26,39.48,47.4,47.1,55.25,53.37,53.89,53.98,60.88
fraud,90.52,87.66,92.18,89.77,91.91,81.61,89.84,50.0,92.44,85.73,50.99,75.38,84.92,44.99,87.9,90.86
glass,67.58,71.95,85.97,87.54,90.77,74.71,81.83,55.9,83.87,82.49,84.57,86.3,67.63,84.94,88.63,91.09
Hepatitis,56.31,62.67,70.29,68.49,69.21,50.98,76.56,53.62,50.0,74.39,67.5,74.76,56.31,82.29,80.78,83.14
http,99.8,99.88,99.98,100.0,100.0,99.99,99.78,81.67,83.31,0.1,100.0,100.0,83.33,42.47,100.0,99.79
InternetAds,67.89,71.41,62.48,51.66,53.1,60.17,63.57,50.28,57.56,42.13,51.93,,54.25,55.15,69.52,77.18
Ionosphere,91.98,73.84,77.56,55.28,54.48,50.28,75.87,50.75,74.22,74.09,64.41,65.63,59.44,74.91,77.37,87.27
landsat,45.19,74.5,57.12,70.89,73.67,64.9,76.46,73.59,56.48,69.12,59.53,71.78,60.09,68.47,67.12,80.98
letter,69.52,72.18,59.98,50.85,50.54,54.87,71.41,50.0,48.39,41.45,74.71,51.19,54.16,57.03,58.71,63.54
Lymphography,96.8,80.4,93.63,80.56,78.14,82.39,98.73,66.78,50.0,62.5,77.79,94.88,72.04,97.25,95.89,99.65
magic.gamma,52.62,76.58,73.47,80.89,80.46,70.0,76.7,77.04,50.99,53.69,51.56,77.36,59.53,72.14,70.33,72.51
mammography,77.28,84.4,88.92,88.57,84.47,89.16,78.78,73.34,60.78,19.48,61.43,77.23,58.85,39.41,66.95,89.83
mnist,69.68,75.32,79.96,78.71,79.73,71.04,88.35,64.07,69.29,85.93,67.36,74.27,64.05,61.14,80.02,91.19
musk,99.12,86.41,84.71,88.19,99.75,88.26,89.38,50.0,43.08,95.16,96.23,97.39,63.78,55.51,89.42,99.44
optdigits,45.68,84.32,99.23,99.93,99.71,99.39,94.15,50.74,87.83,82.84,67.12,98.55,75.39,43.88,94.92,96.46
PageBlocks,74.79,84.76,88.5,70.47,73.14,61.84,83.79,64.43,53.97,36.07,37.37,70.32,55.59,65.55,86.54,93.81
pendigits,55.69,82.47,86.56,87.2,82.95,68.54,84.71,55.56,49.41,74.99,45.87,87.79,60.46,43.88,77.76,89.96
Pima,59.71,58.3,67.54,59.88,58.3,58.78,64.07,56.31,48.99,23.38,54.05,63.06,54.29,62.21,61.7,71.28
satellite,68.69,78.7,75.58,82.6,81.44,77.99,80.29,78.99,55.48,75.44,59.2,75.09,64.68,73.73,70.75,80.4
satimage-2,96.55,95.66,96.4,98.37,98.44,97.99,97.86,50.0,47.99,79.1,94.53,96.78,69.75,40.98,94.64,98.77
shuttle,73.14,98.8,98.92,97.62,97.8,98.13,98.76,93.12,92.87,48.11,92.43,97.74,57.76,74.26,96.18,98.77
skin,52.14,96.98,92.43,95.38,95.03,96.42,91.98,93.22,99.74,92.72,97.14,97.84,57.37,76.5,95.34,99.02
smtp,51.69,82.74,76.47,75.99,75.24,64.06,79.87,50.0,62.98,86.4,52.83,79.07,83.32,43.01,81.12,78.85
SpamBase,53.46,58.01,75.55,83.9,80.46,62.61,77.84,67.52,36.27,69.28,47.11,81.04,58.96,75.7,75.64,84.57
speech,47.46,52.35,52.03,56.06,58.16,53.12,54.63,50.0,58.15,46.78,50.35,53.02,49.52,50.3,44.69,51.54
Stamps,71.87,63.28,88.76,84.81,84.88,67.6,81.48,51.19,67.0,54.56,72.83,89.04,55.4,67.26,80.95,86.75
thyroid,92.36,91.81,98.53,96.75,97.78,89.02,91.16,50.0,54.16,71.35,56.02,91.64,59.84,42.36,94.8,98.57
vertebral,36.95,53.66,45.66,64.09,66.15,70.46,60.27,51.66,64.57,66.93,55.4,58.59,50.48,60.27,64.76,53.56
vowels,78.31,79.02,78.6,78.79,86.68,84.77,86.46,52.22,63.66,13.49,81.67,73.06,64.13,64.87,73.85,83.24
Waveform,53.14,63.29,58.57,73.37,70.59,51.49,67.01,50.0,58.74,57.57,69.15,67.55,52.23,52.81,51.77,66.29
WBC,93.28,93.2,97.59,98.77,98.25,87.79,96.44,54.52,58.43,63.64,80.39,98.65,65.35,75.76,97.11,98.63
WDBC,97.52,90.44,98.81,99.91,99.82,99.76,95.24,56.02,61.79,0.45,82.49,99.87,90.15,95.27,95.46,98.49
Wilt,42.8,63.86,44.02,65.31,66.26,59.6,59.39,66.89,72.34,65.67,70.32,58.73,53.51,52.71,66.94,65.08
wine,65.53,64.33,95.95,99.98,100.0,96.11,90.23,56.18,50.0,2.79,80.56,98.92,58.21,79.38,93.41,91.6
WPBC,47.57,50.38,49.88,60.5,60.73,56.13,52.14,53.41,50.0,46.33,54.05,53.46,52.25,51.51,51.82,47.78
yeast,49.88,50.62,44.59,59.06,58.75,54.13,55.95,59.5,61.9,53.99,44.38,60.48,52.26,52.77,50.26,52.55
CIFAR10,60.3,61.1,62.48,59.91,57.78,60.95,64.46,50.0,61.2,59.75,60.08,61.47,51.21,55.5,64.58,67.54
FashionMNIST,80.12,83.18,76.44,72.02,71.75,77.27,84.64,50.0,57.06,69.27,53.52,65.75,53.6,50.61,82.65,87.7
MNIST-C,74.58,78.48,80.96,88.04,84.59,75.28,85.34,50.24,61.88,79.9,47.11,78.58,63.6,58.72,83.45,85.24
MVTec-AD,74.0,64.46,72.87,63.16,63.4,60.73,63.34,50.9,51.27,60.85,55.02,61.29,58.09,61.21,63.4,76.12
SVHN,57.82,57.72,60.05,59.96,55.45,58.74,59.45,50.05,50.52,55.36,55.21,59.45,51.25,54.89,59.2,62.12
Agnews,59.31,63.27,72.66,75.06,75.96,64.79,68.87,53.39,68.81,61.65,69.53,57.97,50.77,55.93,68.8,68.28
Amazon,58.47,59.22,62.62,74.64,74.67,66.65,64.47,50.85,33.95,58.21,65.01,60.04,50.67,59.3,65.94,59.76
Imdb,49.34,53.36,57.98,66.07,64.51,58.6,59.85,53.55,58.49,52.57,63.23,52.09,49.99,54.11,63.44,52.45
Yelp,67.92,60.66,69.83,77.8,73.99,71.38,69.12,57.2,45.28,63.45,67.11,61.2,51.06,56.82,69.65,70.12
20news,57.29,57.86,56.65,60.43,59.18,54.79,56.13,50.04,53.99,56.97,55.55,49.65,54.5,53.89,54.48,55.69
