Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,54.52,64.14,53.63,52.88,52.95,57.95,79.27,52.7,52.07,57.46,56.16,54.72,78.9,70.12,70.28,70.28
annthyroid,76.85,95.54,83.31,82.81,82.58,91.43,99.21,83.01,82.03,96.62,98.13,98.97,99.34,99.38,99.37,99.27
backdoor,86.48,98.24,89.6,98.11,94.07,98.48,97.27,85.15,97.21,97.69,92.79,96.56,99.69,99.23,99.31,99.64
breastw,94.15,98.44,98.84,99.67,99.59,98.97,99.17,99.75,98.32,99.62,95.52,99.1,99.19,99.42,99.4,99.38
campaign,58.36,78.11,57.94,86.53,87.42,77.21,92.93,81.14,78.45,82.95,84.07,89.47,91.25,92.44,91.77,92.86
cardio,85.52,96.64,98.68,98.75,98.62,96.56,99.38,94.69,97.54,96.88,,98.7,99.31,98.52,98.28,99.18
Cardiotocography,58.27,94.69,95.8,95.0,95.22,94.3,96.0,93.07,94.29,95.79,89.09,95.52,96.23,96.42,95.95,96.53
celeba,69.88,92.06,57.64,95.71,95.34,93.11,95.81,89.48,89.06,95.44,82.83,95.42,89.42,95.91,93.73,95.04
census,58.46,82.01,69.47,91.36,89.89,84.6,92.51,73.31,86.39,86.63,70.73,86.68,90.87,91.72,91.29,92.95
cover,42.11,99.95,99.95,99.93,99.94,99.88,99.64,99.81,98.99,99.86,97.07,99.94,99.95,99.83,99.82,99.94
donors,57.68,100.0,82.81,100.0,99.94,99.99,99.98,99.6,99.91,100.0,99.77,100.0,99.88,99.98,99.96,99.98
fault,66.32,79.36,76.32,75.6,77.47,75.53,81.29,69.99,76.87,80.56,74.97,78.64,83.03,81.77,80.15,84.08
fraud,90.84,91.56,92.22,91.24,95.11,82.43,89.93,88.59,78.12,86.39,73.0,87.2,88.12,41.66,87.38,93.64
glass,68.48,95.63,90.11,89.0,90.35,99.61,99.66,94.38,98.52,85.43,99.83,99.67,99.73,99.34,99.41,99.87
Hepatitis,66.13,99.67,99.74,99.23,98.83,99.96,99.94,97.18,94.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0
http,99.77,100.0,99.98,100.0,100.0,99.93,98.33,98.33,83.33,0.39,100.0,100.0,100.0,40.96,100.0,99.97
InternetAds,68.93,90.13,94.33,92.95,92.47,89.31,92.35,76.24,89.42,89.53,80.04,,93.57,92.93,93.48,95.37
Ionosphere,92.84,96.83,97.55,91.77,92.28,92.26,98.93,89.73,94.26,96.68,89.12,96.17,97.86,99.04,98.8,98.77
landsat,55.06,94.52,60.57,80.19,79.86,87.52,94.6,71.73,90.24,92.93,91.23,93.96,95.09,94.47,94.45,95.46
letter,70.16,83.75,88.74,84.17,83.32,82.56,91.91,70.7,81.8,82.59,84.9,89.13,90.57,91.58,87.49,94.25
Lymphography,98.18,99.88,100.0,100.0,100.0,100.0,100.0,99.92,96.82,100.0,93.94,100.0,100.0,100.0,100.0,100.0
magic.gamma,56.32,90.24,82.46,82.94,83.19,84.89,90.13,77.43,83.81,90.41,85.29,88.45,90.68,90.18,88.42,91.07
mammography,77.28,94.42,93.17,93.28,93.29,93.9,94.12,91.32,70.7,93.28,93.62,93.92,93.47,87.29,91.21,94.48
mnist,67.77,99.14,99.36,99.01,99.13,97.21,99.42,90.02,98.01,98.42,95.66,99.01,99.56,99.31,99.19,99.51
musk,99.29,100.0,100.0,100.0,100.0,100.0,100.0,99.43,99.41,100.0,99.98,100.0,100.0,100.0,100.0,100.0
optdigits,46.9,99.97,99.99,99.99,99.99,99.99,99.93,98.05,99.8,99.98,97.59,99.91,99.91,99.91,99.92,99.92
PageBlocks,78.46,97.21,94.08,88.09,90.53,96.22,98.31,91.83,94.17,95.63,97.49,97.61,98.29,98.39,98.34,98.87
pendigits,59.36,99.99,99.88,99.76,99.81,99.87,99.93,99.69,99.77,99.83,98.7,99.97,99.99,99.95,99.91,100.0
Pima,63.36,80.63,75.75,82.93,82.73,80.5,88.62,83.54,77.38,82.97,80.45,84.25,89.73,89.63,88.73,89.13
satellite,75.12,95.28,81.26,85.38,84.85,86.32,95.55,78.88,91.43,90.66,91.13,95.39,96.25,95.42,95.4,96.19
satimage-2,96.83,99.28,99.45,99.06,99.05,98.31,99.45,98.0,97.38,98.26,97.43,98.16,96.78,95.09,96.16,98.99
shuttle,65.45,98.97,98.91,97.57,97.67,98.42,99.98,97.37,98.38,97.63,98.86,98.28,99.52,99.85,99.65,99.92
skin,52.08,99.92,89.02,95.7,95.35,98.77,99.88,93.94,99.73,99.88,99.93,99.9,99.77,99.89,99.87,99.94
smtp,56.11,99.22,92.43,87.46,84.95,84.24,98.52,50.48,66.96,86.42,83.3,87.3,100.0,43.94,99.72,99.99
SpamBase,57.07,94.37,91.77,92.05,94.09,93.64,97.38,83.88,91.82,97.05,93.71,95.2,95.74,97.15,96.55,97.69
speech,47.72,59.94,73.34,80.36,81.56,75.98,67.42,70.05,79.76,78.56,72.88,79.25,56.81,66.99,70.35,60.34
Stamps,74.37,98.03,98.84,98.41,99.0,98.85,99.61,99.07,97.3,99.12,98.47,99.65,99.32,99.67,99.56,99.72
thyroid,92.97,99.04,99.76,99.76,99.76,99.76,99.9,99.62,95.95,99.57,97.46,99.7,99.22,99.8,99.85,99.86
vertebral,39.88,88.4,79.82,81.09,82.54,92.65,98.71,87.03,91.13,74.28,96.42,96.29,97.79,97.87,98.22,98.59
vowels,78.97,93.21,98.08,98.91,98.94,98.13,98.13,97.53,98.14,94.7,92.8,99.6,96.27,98.85,97.6,99.43
Waveform,53.02,85.4,91.74,91.02,91.47,86.57,91.05,86.98,91.97,94.73,75.22,90.3,87.11,90.44,89.69,91.77
WBC,95.21,98.38,99.22,99.43,99.14,92.44,99.9,98.95,97.0,96.5,91.37,99.33,99.68,93.46,99.06,99.82
WDBC,97.76,99.72,100.0,100.0,100.0,100.0,99.29,100.0,98.75,100.0,91.31,100.0,99.99,99.8,99.89,100.0
Wilt,36.44,98.38,61.62,68.09,68.95,90.1,98.06,82.18,96.56,66.93,98.62,90.9,98.3,97.03,97.79,98.86
wine,70.5,99.89,100.0,100.0,100.0,100.0,100.0,100.0,98.73,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WPBC,49.03,89.94,77.94,82.2,82.45,85.95,95.75,70.04,81.8,86.21,93.25,94.19,92.37,94.79,95.72,95.44
yeast,48.87,67.62,45.2,68.36,68.52,68.58,71.08,65.68,55.86,69.74,69.76,74.27,70.73,71.11,70.67,75.62
CIFAR10,61.15,77.08,84.28,85.35,82.31,79.64,85.06,60.77,80.99,79.19,66.86,71.13,69.51,85.17,84.27,85.33
