Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,8,6,11,13,14,7,1,15,9,12,16.0,10.0,2,3,4,5
annthyroid,15,9,12,13,14,7,4,11,16,10,8.0,1.0,6,5,3,2
backdoor,15,8,13,6,9,4,7,16,12,10,14.0,11.0,5,2,3,1
breastw,15,12,8,2,5,14,6,1,13,3,16.0,10.0,11,4,9,7
campaign,15,14,16,7,6,11,1,9,13,10,12.0,8.0,5,3,4,2
cardio,15,12,2,7,5,8,3,13,14,11,,6.0,1,10,9,4
Cardiotocography,16,12,6,3,2,13,7,10,14,4,15.0,5.0,9,8,11,1
celeba,15,11,16,1,3,9,4,10,12,6,14.0,2.0,13,5,8,7
census,16,12,14,3,6,10,1,13,9,8,15.0,11.0,7,4,5,2
cover,16,5,1,3,2,7,12,11,13,9,14.0,8.0,6,15,10,4
donors,16,1,15,2,4,3,6,14,12,8,13.0,7.0,11,9,10,5
fault,16,8,10,11,7,12,3,13,14,2,15.0,9.0,4,5,6,1
fraud,3,6,1,7,4,13,5,14,15,9,12.0,11.0,8,16,10,2
glass,16,12,14,13,11,10,5,8,9,15,7.0,3.0,6,4,2,1
Hepatitis,16,14,6,7,9,11,4,12,15,3,8.0,13.0,10,5,2,1
http,11,7,8,1,1,10,12,12,14,16,6.0,1.0,5,15,1,9
InternetAds,14,9,2,7,8,10,6,15,11,12,13.0,,3,5,4,1
Ionosphere,8,7,4,15,14,10,1,13,12,11,16.0,9.0,6,2,5,3
landsat,16,3,15,12,13,11,2,14,10,8,9.0,5.0,6,4,7,1
letter,15,10,6,9,7,14,2,16,13,12,3.0,11.0,4,5,8,1
Lymphography,11,10,2,6,4,12,15,1,16,7,13.0,5.0,14,8,9,3
magic.gamma,16,5,13,11,10,9,2,14,15,1,12.0,7.0,4,6,8,3
mammography,15,1,5,6,7,3,9,10,16,8,13.0,2.0,11,14,12,4
mnist,16,12,4,5,3,10,2,15,13,11,14.0,9.0,7,6,8,1
musk,13,10,1,1,1,1,1,14,16,1,15.0,1.0,12,11,1,1
optdigits,16,8,2,3,1,4,9,13,14,5,15.0,6.0,10,12,11,7
PageBlocks,16,5,10,14,13,7,3,12,15,11,9.0,6.0,8,4,2,1
pendigits,16,1,10,5,4,12,7,8,15,9,14.0,3.0,11,13,6,2
Pima,16,12,13,4,5,11,3,8,15,10,14.0,9.0,6,1,7,2
satellite,16,5,14,11,12,9,2,15,13,8,10.0,3.0,4,6,7,1
satimage-2,13,5,2,1,3,10,4,7,16,11,14.0,8.0,12,15,9,6
shuttle,16,6,5,12,11,7,1,14,15,13,10.0,8.0,9,2,3,4
skin,16,2,15,12,13,10,4,14,8,6,5.0,3.0,11,9,7,1
smtp,14,3,8,9,11,10,5,15,12,1,13.0,6.0,2,16,4,7
SpamBase,16,10,11,9,7,12,2,14,15,3,13.0,6.0,8,4,5,1
speech,16,14,8,2,1,9,5,10,4,12,13.0,3.0,15,7,6,11
Stamps,16,13,8,9,3,6,10,14,12,7,15.0,5.0,11,2,4,1
thyroid,16,11,6,1,3,10,5,4,15,7,14.0,8.0,13,12,9,2
vertebral,16,13,14,12,11,6,2,8,10,15,9.0,5.0,7,4,3,1
vowels,15,11,4,2,1,7,9,8,12,16,14.0,5.0,13,6,10,3
Waveform,16,14,1,2,3,13,5,9,10,12,15.0,11.0,8,6,7,4
WBC,12,10,5,3,2,15,13,4,9,14,16.0,7.0,11,6,8,1
WDBC,13,11,1,1,1,1,12,15,14,7,16.0,6.0,8,9,10,1
Wilt,16,2,15,13,12,8,5,10,9,14,3.0,11.0,6,7,4,1
wine,16,13,1,1,1,1,9,1,15,8,11.0,1.0,14,10,12,7
WPBC,16,10,14,11,8,12,3,15,13,9,1.0,7.0,6,5,4,2
yeast,15,10,16,8,4,3,6,12,14,11,7.0,2.0,13,5,9,1
CIFAR10,14,11,6,2,8,7,3,16,9,10,15.0,12.0,13,5,4,1
FashionMNIST,14,9,2,1,7,8,3,16,12,11,15.0,10.0,13,5,4,6
MNIST-C,15,11,13,1,2,6,3,16,10,8,14.0,12.0,9,4,5,7
MVTec-AD,14,9,15,6,7,10,2,16,12,11,13.0,8.0,5,4,3,1
SVHN,15,11,2,1,3,8,5,16,9,10,13.0,12.0,14,7,4,6
Agnews,16,11,4,2,3,8,5,14,9,1,12.0,13.0,15,10,6,7
Amazon,14,13,4,2,3,5,7,16,9,1,12.0,11.0,15,10,6,8
Imdb,16,13,9,3,4,2,5,15,6,1,11.0,12.0,14,10,8,7
Yelp,14,13,2,3,4,5,6,16,10,1,12.0,11.0,15,9,7,8
20news,15,9,14,2,3,10,7,16,8,1,12.0,13.0,11,6,4,5
