Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,56.71,57.88,52.13,47.46,48.51,52.77,65.99,48.37,49.86,48.95,47.91,51.97,56.68,55.28,57.22,55.05
annthyroid,76.22,79.92,78.91,81.64,82.42,89.05,97.24,81.99,49.8,71.31,77.35,95.13,82.25,93.14,95.24,98.51
backdoor,81.81,95.13,89.33,95.58,94.37,96.8,91.07,79.06,86.8,93.12,66.31,89.84,76.68,76.63,93.34,94.34
breastw,92.28,90.67,97.61,99.18,92.79,92.67,96.72,99.73,72.44,95.42,49.28,88.59,85.59,97.53,95.12,99.1
campaign,64.43,69.71,57.88,81.03,80.65,71.01,88.41,69.02,68.58,70.18,59.17,67.08,72.78,84.86,86.48,88.89
cardio,82.46,79.71,95.56,97.12,96.36,87.96,95.73,71.04,83.3,90.85,,92.65,85.07,88.03,89.79,96.82
Cardiotocography,54.77,81.24,89.88,91.17,90.73,81.89,83.73,86.77,80.19,84.67,60.64,81.73,79.49,83.03,84.55,89.12
celeba,68.79,75.4,56.47,91.01,90.64,86.63,87.45,74.33,56.62,90.93,58.14,89.93,63.12,83.72,83.9,84.69
census,59.66,69.05,69.2,81.03,75.34,76.32,87.48,57.28,79.56,75.94,56.06,78.81,70.47,83.37,88.04,86.81
cover,44.46,94.43,99.69,99.47,99.47,91.01,97.18,96.92,89.4,96.38,68.67,99.92,84.32,57.48,94.08,99.24
donors,68.62,99.92,82.81,99.99,99.95,99.99,99.59,99.42,64.53,99.62,95.7,99.9,77.22,95.13,97.9,99.29
fault,64.26,68.76,68.7,67.54,66.67,62.94,69.3,63.65,62.06,66.07,50.92,66.99,65.0,69.68,68.15,72.02
fraud,90.52,87.66,92.18,89.77,91.91,81.61,89.84,50.0,92.44,85.73,50.99,75.38,84.92,44.99,87.9,90.86
glass,67.84,84.34,82.27,91.37,94.46,93.72,95.73,92.73,80.63,82.59,89.96,91.48,78.85,92.17,95.97,98.37
Hepatitis,56.94,74.83,88.1,86.62,83.71,72.08,85.44,77.79,50.0,85.11,80.48,82.99,69.71,89.29,89.66,91.72
http,99.8,99.9,99.98,100.0,100.0,99.99,98.33,98.33,83.31,0.14,100.0,100.0,100.0,39.87,100.0,99.97
InternetAds,67.94,72.98,79.79,61.68,57.82,63.57,75.77,51.49,69.28,57.14,50.82,,68.01,68.68,67.87,81.94
Ionosphere,92.09,81.01,94.21,68.67,67.54,63.46,93.43,85.42,83.55,71.41,50.49,76.83,74.95,88.77,87.23,93.99
landsat,46.33,85.54,59.84,77.78,78.32,81.22,87.34,71.02,79.27,80.25,66.81,86.98,79.52,84.7,82.67,88.44
letter,69.64,73.09,66.43,65.01,63.18,64.18,83.13,48.83,40.02,42.09,76.96,59.82,62.33,65.92,63.8,63.5
Lymphography,96.84,86.9,92.94,80.25,79.68,93.47,77.4,73.19,50.0,70.06,87.01,91.87,78.22,91.31,78.66,99.71
magic.gamma,61.44,82.08,78.24,82.76,83.38,84.04,84.58,76.1,49.3,85.08,71.05,81.91,78.06,79.11,78.22,81.85
mammography,75.46,90.9,91.9,92.9,93.17,91.28,87.22,87.26,69.49,89.65,77.88,90.8,72.62,71.32,86.44,91.15
mnist,69.09,84.99,92.3,95.39,93.37,84.77,96.28,57.22,87.89,89.03,67.59,92.84,86.55,92.07,94.45,97.02
musk,97.34,96.46,93.97,100.0,100.0,100.0,99.9,83.33,54.07,100.0,78.75,99.89,81.6,83.97,99.66,99.78
optdigits,46.44,94.98,99.67,99.98,99.98,99.94,98.23,80.46,90.94,99.48,52.71,98.84,93.91,78.07,96.75,99.04
PageBlocks,72.69,93.01,91.22,86.42,90.38,89.67,94.73,88.46,58.16,90.15,82.94,88.03,76.84,92.74,94.28,96.8
pendigits,56.82,97.41,99.75,99.76,99.69,99.59,98.28,99.1,84.95,98.23,70.59,98.27,84.29,64.95,98.33,99.03
Pima,60.11,63.23,73.18,78.02,76.43,63.55,69.92,71.13,47.99,32.37,51.59,68.69,67.36,71.8,70.8,73.8
satellite,69.49,88.65,81.31,84.34,84.41,85.32,89.34,79.37,61.94,87.79,75.45,87.82,82.71,86.74,85.2,90.22
satimage-2,96.6,98.11,97.79,98.03,97.82,98.55,97.83,91.43,65.61,96.65,85.08,96.99,87.97,50.02,93.66,98.93
shuttle,77.41,98.71,98.83,97.57,97.69,97.29,99.73,94.63,97.04,97.49,97.97,97.44,78.01,97.16,98.0,98.85
skin,52.78,99.41,90.56,95.72,95.24,98.56,99.22,94.89,99.6,97.23,99.83,99.06,78.23,99.0,98.53,99.72
smtp,51.69,82.74,76.47,75.99,75.24,74.57,79.87,50.0,62.98,86.4,52.83,79.07,83.32,43.01,81.12,78.85
SpamBase,53.66,70.72,83.55,90.24,90.87,79.04,89.24,79.84,68.44,87.16,54.44,87.75,78.45,84.84,82.86,91.87
speech,47.49,53.11,53.13,62.36,63.6,54.61,58.2,49.88,63.4,50.39,53.45,56.61,47.39,51.71,56.82,53.58
Stamps,72.13,74.61,95.3,94.14,96.07,79.4,95.09,83.22,54.66,75.9,71.39,91.02,73.95,84.9,87.03,96.07
thyroid,92.65,95.21,99.55,99.5,99.5,99.42,98.89,96.53,71.37,85.18,51.29,99.35,78.61,71.2,95.76,98.99
vertebral,37.14,61.49,55.86,77.65,77.24,77.2,69.29,81.21,71.9,67.05,69.77,81.88,56.29,73.5,81.65,77.22
vowels,78.54,80.31,86.47,89.12,92.49,86.69,87.82,73.29,55.9,14.35,80.28,73.35,66.06,73.15,73.74,87.31
Waveform,52.99,68.05,80.58,84.84,82.3,64.09,74.68,77.42,60.62,61.03,72.6,80.85,64.74,64.81,71.76,84.82
WBC,92.78,94.96,97.88,98.38,98.28,68.09,74.32,65.0,58.91,76.82,72.86,97.98,81.68,81.23,76.14,98.61
WDBC,97.52,90.44,98.81,99.91,99.82,99.73,95.24,56.02,61.79,0.45,82.49,99.87,90.15,95.27,95.46,98.49
Wilt,38.88,81.89,49.93,67.91,68.39,80.51,83.57,74.33,79.01,65.79,87.83,64.93,68.2,80.75,80.35,89.99
wine,65.76,82.24,99.91,100.0,100.0,99.82,88.29,95.82,50.0,3.9,88.46,99.82,73.73,89.63,94.27,99.2
WPBC,47.66,55.28,57.32,68.74,69.92,57.0,61.95,55.92,44.53,54.06,64.6,60.63,60.11,57.48,62.26,64.39
yeast,48.22,54.78,47.57,65.99,66.12,59.7,55.83,63.75,62.62,53.76,50.93,60.65,56.28,57.22,55.18,62.04
