Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,3.8,7.79,4.68,4.29,4.29,5.8,14.42,4.04,6.38,5.97,6.0,4.58,19.73,12.29,12.26,15.21
annthyroid,36.48,69.96,43.17,45.48,45.07,56.75,85.86,45.09,58.0,71.27,77.5,83.77,89.09,89.7,89.6,86.92
backdoor,32.07,85.28,29.7,90.44,89.2,90.83,72.87,17.69,90.7,85.44,86.98,83.55,97.24,92.06,93.08,96.6
breastw,88.43,96.18,97.24,99.33,99.12,98.43,97.6,99.52,96.17,99.2,94.77,97.73,98.08,98.61,98.58,98.67
campaign,17.93,37.5,15.35,46.79,48.68,33.08,58.11,38.49,38.9,42.72,40.12,47.5,53.96,53.83,52.12,55.79
cardio,44.5,86.44,93.47,91.4,91.59,87.3,93.69,79.41,82.9,87.82,,91.72,93.46,87.83,89.77,93.07
Cardiotocography,37.08,84.1,87.98,84.13,84.69,80.77,86.08,78.74,84.36,87.26,76.85,82.05,87.86,87.24,85.69,88.35
celeba,8.61,29.1,3.31,34.64,33.25,25.65,29.11,11.63,24.76,29.23,22.64,26.59,23.68,31.97,29.55,31.9
census,7.6,33.86,10.24,45.46,46.42,31.67,54.61,12.22,37.34,36.76,27.78,33.71,48.97,49.1,47.54,53.74
cover,0.87,96.9,96.33,96.6,95.84,94.01,87.82,89.71,81.19,91.62,83.88,92.57,94.82,80.36,89.69,91.82
donors,9.59,100.0,17.09,100.0,98.94,99.45,99.53,88.9,98.69,100.0,99.66,100.0,99.33,99.72,99.35,99.73
fault,52.78,64.59,63.11,61.39,65.97,63.58,69.73,53.82,63.97,67.93,63.79,64.53,70.6,69.36,66.37,73.33
fraud,42.42,44.58,42.54,57.41,58.06,54.79,55.51,22.65,30.67,48.17,39.66,53.37,53.74,0.15,51.59,61.97
glass,16.25,46.49,33.61,26.6,28.31,95.3,94.82,44.49,92.24,27.92,96.78,96.67,96.46,92.99,93.48,97.47
Hepatitis,31.56,98.42,99.0,93.79,91.56,99.79,99.69,83.73,83.17,100.0,100.0,100.0,100.0,100.0,100.0,100.0
http,67.59,100.0,93.99,100.0,100.0,90.0,96.68,96.68,66.78,0.37,100.0,100.0,99.44,0.38,100.0,94.12
InternetAds,49.41,80.95,87.79,86.41,86.22,78.45,85.5,42.15,83.85,74.6,69.61,,78.89,83.73,85.87,91.04
Ionosphere,90.45,95.8,96.72,91.65,91.95,92.4,98.8,85.54,92.78,95.84,90.52,94.82,97.32,98.55,98.39,98.13
landsat,23.29,83.56,41.88,56.1,55.34,62.72,84.47,29.7,77.68,79.45,75.47,80.63,86.35,83.95,83.06,86.69
letter,16.32,32.56,50.34,28.06,31.43,29.85,49.99,14.41,39.87,37.5,53.57,53.61,47.32,52.89,45.6,58.35
Lymphography,74.88,98.72,100.0,100.0,100.0,100.0,100.0,98.61,76.18,100.0,94.16,100.0,100.0,100.0,100.0,100.0
magic.gamma,42.51,85.16,76.64,72.86,74.75,74.9,85.48,69.93,79.92,86.86,75.9,80.67,85.77,84.85,81.78,86.87
mammography,17.32,64.05,61.81,61.86,60.95,63.4,63.28,46.83,42.42,60.93,67.29,69.52,66.85,59.51,62.49,69.65
mnist,16.32,94.42,95.5,90.42,91.4,81.82,95.11,50.06,88.99,92.22,83.97,91.37,96.22,94.15,93.77,96.31
