Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,4,2,9,16,13,8,1,14,11,12,15.0,10.0,5,6,3,7
annthyroid,14,11,12,10,7,6,2,9,16,15,13.0,4.0,8,5,3,1
backdoor,12,3,10,2,4,1,8,13,11,7,16.0,9.0,14,15,6,5
breastw,11,12,4,2,9,10,6,1,15,7,16.0,13.0,14,5,8,3
campaign,14,10,16,5,6,8,2,11,12,9,15.0,13.0,7,4,3,1
cardio,13,14,5,1,3,10,4,15,12,7,,6.0,11,9,8,2
Cardiotocography,16,12,3,1,2,10,8,5,13,6,15.0,11.0,14,9,7,4
celeba,12,10,16,1,3,6,5,11,15,2,14.0,4.0,13,9,8,7
census,14,13,12,5,10,8,2,15,6,9,16.0,7.0,11,4,1,3
cover,16,9,2,4,3,11,6,7,12,8,14.0,1.0,13,15,10,5
donors,15,4,13,1,3,2,7,8,16,6,11.0,5.0,14,12,10,9
fault,12,4,5,7,9,14,3,13,15,10,16.0,8.0,11,2,6,1
fraud,5,9,2,7,3,12,6,15,1,10,14.0,13.0,11,16,8,4
glass,16,11,13,9,4,5,3,6,14,12,10.0,8.0,15,7,2,1
Hepatitis,15,12,4,5,8,13,6,11,16,7,10.0,9.0,14,3,2,1
http,11,10,8,1,1,7,12,12,14,16,1.0,1.0,6,15,1,9
InternetAds,8,4,2,11,12,10,3,14,5,13,15.0,,7,6,9,1
Ionosphere,4,9,1,13,14,15,3,7,8,12,16.0,10.0,11,5,6,2
landsat,16,4,15,12,11,7,2,13,10,8,14.0,3.0,9,5,6,1
letter,4,3,5,7,11,8,1,14,16,15,2.0,13.0,12,6,9,10
Lymphography,2,8,4,9,10,3,13,14,16,15,7.0,5.0,12,6,11,1
magic.gamma,15,6,10,5,4,3,2,13,16,1,14.0,7.0,12,9,11,8
mammography,13,6,3,2,1,4,10,9,16,8,12.0,7.0,14,15,11,5
mnist,14,12,7,3,5,13,2,16,10,9,15.0,6.0,11,8,4,1
musk,9,10,11,1,1,1,5,13,16,1,15.0,6.0,14,12,8,7
optdigits,16,10,4,1,2,3,8,13,12,5,15.0,7.0,11,14,9,6
PageBlocks,15,4,6,12,7,9,2,10,16,8,13.0,11.0,14,5,3,1
pendigits,16,11,2,1,3,4,8,5,12,10,14.0,9.0,13,15,7,6
Pima,13,12,4,1,2,11,8,6,15,16,14.0,9.0,10,5,7,3
satellite,15,3,12,10,9,7,2,13,16,5,14.0,4.0,11,6,8,1
satimage-2,10,3,7,4,6,2,5,12,15,9,14.0,8.0,13,16,11,1
shuttle,16,4,3,8,7,11,1,14,13,9,6.0,10.0,15,12,5,2
skin,16,4,14,11,12,8,5,13,3,10,1.0,6.0,15,7,9,2
smtp,14,3,8,9,10,11,5,15,12,1,13.0,6.0,2,16,4,7
SpamBase,16,13,8,3,2,11,4,10,14,6,15.0,5.0,12,7,9,1
speech,15,11,10,3,1,7,4,14,2,13,9.0,6.0,16,12,5,8
Stamps,14,12,3,5,2,10,4,9,16,11,15.0,6.0,13,8,7,1
thyroid,11,10,1,3,2,4,7,8,14,12,16.0,5.0,13,15,9,6
vertebral,16,13,15,4,5,7,11,3,9,12,10.0,1.0,14,8,2,6
vowels,9,7,6,2,1,5,3,12,15,16,8.0,11.0,14,13,10,4
Waveform,16,10,5,1,3,13,7,6,15,14,8.0,4.0,12,11,9,2
WBC,7,6,5,2,3,14,12,15,16,10,13.0,4.0,8,9,11,1
WDBC,7,11,5,1,3,4,10,15,14,16,13.0,2.0,12,9,8,6
Wilt,16,4,15,12,10,6,3,9,8,13,2.0,14.0,11,5,7,1
wine,14,12,3,1,1,5,11,7,15,16,10.0,4.0,13,9,8,6
WPBC,15,13,10,2,1,11,6,12,16,14,3.0,7.0,8,9,5,4
yeast,15,12,16,2,1,7,10,3,4,13,14.0,6.0,9,8,11,5
CIFAR10,13,9,4,5,8,7,2,16,11,10,14.0,12.0,15,6,1,3
FashionMNIST,10,6,5,4,7,9,1,16,13,12,14.0,11.0,15,8,2,3
MNIST-C,14,7,12,1,2,6,3,16,10,8,15.0,9.0,11,13,4,5
MVTec-AD,5,11,6,7,8,13,4,16,14,12,15.0,10.0,9,3,2,1
SVHN,12,10,4,1,9,6,2,16,8,11,13.0,14.0,15,7,3,5
Agnews,14,11,3,2,1,7,5,15,8,4,13.0,12.0,16,10,6,9
Amazon,14,12,8,2,1,6,5,15,7,3,13.0,11.0,16,10,4,9
Imdb,16,13,5,1,2,6,9,14,4,3,10.0,12.0,15,11,8,7
Yelp,12,13,7,1,2,4,6,15,8,3,14.0,11.0,16,9,5,10
20news,12,6,14,1,2,8,4,15,16,11,9.0,13.0,10,7,3,5
