Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,12,5,9,10,7,14,1,16,15,8,13.0,11.0,2,3,4,6
annthyroid,11,9,14,10,12,7,2,13,16,15,8.0,1.0,6,5,4,3
backdoor,15,10,14,1,2,4,8,16,9,3,13.0,6.0,11,7,5,12
breastw,14,13,7,2,4,11,9,1,15,3,16.0,10.0,12,5,8,6
campaign,10,13,16,6,5,12,1,9,14,11,15.0,8.0,7,4,3,2
cardio,15,13,6,1,5,2,7,11,14,9,,4.0,10,12,8,3
Cardiotocography,16,9,2,3,1,13,7,5,14,4,15.0,12.0,11,10,8,6
celeba,15,12,16,2,1,4,6,9,11,3,14.0,5.0,13,7,8,10
census,16,12,14,5,6,8,1,15,10,9,13.0,11.0,7,4,3,2
cover,16,9,1,3,2,5,10,6,14,12,13.0,4.0,11,15,8,7
donors,16,3,15,1,8,4,9,13,5,6,7.0,2.0,14,12,11,10
fault,14,11,2,7,4,9,6,13,15,3,16.0,12.0,10,5,8,1
fraud,10,13,9,5,3,4,8,15,12,11,14.0,2.0,6,15,7,1
glass,16,14,13,12,11,5,2,9,8,15,3.0,4.0,10,7,6,1
Hepatitis,15,14,9,6,10,11,4,12,16,5,7.0,8.0,13,2,3,1
http,13,11,9,1,1,12,7,7,14,16,1.0,1.0,6,15,1,10
InternetAds,10,8,2,5,7,11,4,15,6,14,13.0,,12,9,3,1
Ionosphere,5,8,1,9,11,13,2,7,14,12,16.0,15.0,10,6,4,3
landsat,16,2,14,13,12,9,4,15,10,5,11.0,3.0,8,6,7,1
letter,11,3,8,5,4,10,1,14,13,16,2.0,15.0,12,9,6,7
Lymphography,13,14,1,4,3,6,9,15,16,10,11.0,5.0,12,7,8,2
magic.gamma,16,3,7,9,6,8,2,12,15,1,14.0,5.0,10,11,13,4
mammography,16,4,3,1,2,5,9,8,15,7,11.0,6.0,12,14,13,10
mnist,15,12,3,4,5,10,2,16,13,11,14.0,8.0,9,7,6,1
musk,10,11,9,1,1,1,6,12,16,1,15.0,8.0,13,14,7,1
optdigits,16,8,3,1,2,4,9,12,14,5,15.0,6.0,10,13,11,7
PageBlocks,16,4,5,12,9,8,6,14,15,7,13.0,11.0,10,2,3,1
pendigits,16,9,1,4,6,2,11,8,15,5,12.0,3.0,13,14,10,7
Pima,13,12,10,7,3,8,5,1,16,14,15.0,11.0,9,2,6,4
satellite,15,5,11,6,7,10,3,13,16,4,14.0,1.0,8,9,12,2
satimage-2,14,6,2,3,4,1,8,9,15,10,13.0,7.0,11,16,12,5
shuttle,16,3,4,9,7,5,1,13,15,11,8.0,10.0,14,12,6,2
skin,16,7,15,13,14,11,2,10,5,9,3.0,8.0,12,4,6,1
smtp,11,2,7,4,1,13,3,15,12,8,14.0,9.0,5,15,5,10
SpamBase,16,12,10,7,4,9,1,13,14,3,15.0,5.0,11,6,8,2
speech,16,15,6,1,2,4,11,8,3,9,5.0,7.0,10,14,12,13
Stamps,16,15,3,9,4,7,5,8,11,12,14.0,2.0,13,10,6,1
thyroid,13,12,2,1,3,5,8,7,16,14,15.0,6.0,11,10,4,9
vertebral,16,13,14,12,11,7,2,9,6,15,10.0,5.0,8,3,1,4
vowels,14,15,8,2,1,7,3,13,12,16,6.0,5.0,11,10,9,4
Waveform,16,3,12,11,8,10,5,13,7,15,4.0,2.0,14,9,6,1
WBC,15,13,5,3,2,6,12,10,16,11,14.0,4.0,9,7,8,1
WDBC,12,14,1,1,1,6,9,13,16,15,7.0,5.0,8,10,11,4
Wilt,16,8,15,13,12,6,5,9,10,14,2.0,11.0,7,4,3,1
wine,15,14,5,1,1,1,11,4,16,8,9.0,6.0,13,12,10,7
WPBC,15,12,13,8,10,7,5,14,16,11,3.0,9.0,6,4,2,1
yeast,16,12,14,8,5,3,6,2,13,15,7.0,4.0,11,10,9,1
CIFAR10,15,11,6,2,5,1,4,16,10,9,13.0,12.0,14,8,3,7
FashionMNIST,15,9,5,1,2,4,3,16,11,10,14.0,12.0,13,8,7,6
MNIST-C,15,11,13,1,2,3,5,16,12,9,14.0,10.0,8,7,4,6
MVTec-AD,12,8,13,5,6,9,2,16,15,10,14.0,11.0,7,4,3,1
SVHN,14,13,4,1,3,2,6,16,9,10,12.0,11.0,15,7,5,8
Agnews,15,10,4,3,2,5,6,16,7,1,13.0,12.0,14,11,8,9
Amazon,15,13,5,3,2,4,8,16,7,1,11.0,12.0,14,10,6,9
Imdb,16,12,6,2,4,3,8,14,7,1,10.0,13.0,15,11,9,5
Yelp,14,13,5,2,3,4,8,16,6,1,10.0,12.0,15,11,7,9
20news,14,11,15,2,1,8,6,16,4,3,7.0,13.0,12,10,5,9
