Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,7,6,8,13,14,9,1,15,16,10,12.0,11.0,2,4,3,5
annthyroid,11,9,14,10,12,7,3,13,16,15,8.0,2.0,6,5,4,1
backdoor,14,5,12,1,6,3,7,15,9,8,16.0,10.0,13,11,2,4
breastw,13,11,8,3,5,14,9,1,15,2,16.0,7.0,12,4,10,6
campaign,10,13,16,5,6,12,1,9,14,11,15.0,8.0,7,4,3,2
cardio,15,13,4,2,5,7,6,12,14,8,,3.0,11,10,9,1
Cardiotocography,16,10,4,2,1,13,7,6,14,5,15.0,11.0,12,8,9,3
celeba,13,11,16,2,3,9,5,8,12,1,15.0,4.0,14,6,7,10
census,16,12,13,5,6,7,1,14,9,10,15.0,11.0,8,4,3,2
cover,16,10,2,3,4,11,9,6,12,8,14.0,1.0,13,15,7,5
donors,16,3,15,1,5,4,7,11,8,6,10.0,2.0,14,13,12,9
fault,14,5,6,7,8,12,3,13,15,2,16.0,9.0,10,4,11,1
fraud,3,7,1,8,5,13,11,15,6,9,14.0,4.0,10,16,12,2
glass,16,12,10,8,3,9,2,11,13,14,7.0,4.0,15,5,6,1
Hepatitis,15,13,8,3,6,12,5,10,16,9,11.0,7.0,14,2,4,1
http,11,9,7,1,1,10,12,12,14,16,1.0,1.0,6,15,1,8
InternetAds,11,7,2,9,12,10,3,15,8,13,14.0,,6,5,4,1
Ionosphere,5,8,1,11,12,13,3,7,10,14,16.0,15.0,9,6,4,2
landsat,16,3,15,12,11,9,2,14,10,5,13.0,4.0,7,6,8,1
letter,10,3,4,7,6,12,1,13,14,16,2.0,15.0,11,9,8,5
Lymphography,6,13,2,7,4,9,12,15,16,11,10.0,5.0,14,3,8,1
magic.gamma,15,4,12,9,7,8,1,14,16,2,13.0,3.0,6,10,11,5
mammography,15,5,3,1,2,4,10,7,16,6,12.0,9.0,13,14,11,8
mnist,14,12,5,3,4,10,1,16,13,11,15.0,8.0,9,7,6,2
musk,9,11,10,1,1,1,6,12,16,1,15.0,8.0,13,14,7,1
optdigits,16,8,4,1,2,3,7,13,12,5,15.0,11.0,10,14,9,6
PageBlocks,15,5,6,13,10,7,4,9,16,8,14.0,11.0,12,2,3,1
pendigits,16,9,4,3,6,2,11,7,14,10,13.0,1.0,12,15,8,5
Pima,13,12,9,2,1,8,6,5,16,14,15.0,10.0,11,4,7,3
satellite,16,4,13,10,11,9,3,14,15,8,12.0,1.0,5,6,7,2
satimage-2,10,7,1,6,4,9,5,11,15,8,14.0,3.0,12,16,13,2
shuttle,16,3,5,10,8,7,1,13,15,11,9.0,12.0,14,6,4,2
skin,16,3,14,11,12,10,4,13,5,8,2.0,6.0,15,7,9,1
smtp,14,3,8,9,11,10,5,15,12,1,13.0,6.0,2,16,4,7
SpamBase,16,13,9,6,3,11,1,12,14,4,15.0,5.0,10,7,8,2
speech,16,11,7,2,1,5,9,6,8,12,13.0,3.0,15,14,10,4
Stamps,15,11,2,8,5,9,3,12,10,13,16.0,6.0,14,7,4,1
thyroid,13,10,2,1,3,6,8,7,16,14,15.0,4.0,12,11,9,5
vertebral,16,11,15,9,7,8,2,4,10,12,14.0,6.0,13,5,1,3
vowels,15,12,5,3,1,4,2,9,14,16,13.0,11.0,10,8,7,6
Waveform,16,13,5,3,2,12,4,7,10,15,11.0,9.0,14,8,6,1
WBC,9,7,4,3,2,6,12,13,16,11,15.0,5.0,14,8,10,1
WDBC,8,12,1,1,1,6,9,14,15,16,10.0,5.0,11,7,13,4
Wilt,16,3,15,13,12,7,5,10,9,14,2.0,11.0,8,6,4,1
wine,15,12,5,1,1,1,13,4,16,8,9.0,7.0,14,10,11,6
WPBC,15,12,13,1,3,8,6,14,16,5,9.0,11.0,10,7,2,4
yeast,15,11,16,4,3,6,8,2,14,13,9.0,5.0,12,7,10,1
CIFAR10,13,11,6,4,8,7,1,16,9,10,15.0,12.0,14,5,3,2
FashionMNIST,10,9,2,5,6,8,1,16,12,11,15.0,13.0,14,7,3,4
MNIST-C,14,8,13,1,2,5,4,16,12,10,15.0,11.0,9,7,3,6
MVTec-AD,8,9,10,5,6,12,2,16,14,11,15.0,13.0,7,4,3,1
SVHN,14,11,2,1,7,4,5,16,10,12,13.0,9.0,15,6,3,8
Agnews,14,12,3,2,4,7,5,15,8,1,13.0,11.0,16,10,6,9
Amazon,14,13,5,1,2,4,7,16,9,3,12.0,11.0,15,10,6,8
Imdb,16,12,7,2,3,5,8,14,4,1,11.0,13.0,15,10,9,6
Yelp,13,12,4,2,3,5,7,16,8,1,14.0,11.0,15,10,6,9
20news,14,9,15,1,5,11,4,16,8,10,13.0,7.0,12,2,3,6
