Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,3.92,5.85,4.35,4.55,4.67,3.83,7.59,3.49,3.39,3.88,4.02,3.85,5.88,4.77,6.0,5.45
annthyroid,36.68,37.97,36.09,43.73,43.73,51.83,77.54,42.73,11.84,25.83,36.36,76.62,49.66,64.75,72.25,78.01
backdoor,7.05,62.79,28.48,88.48,88.58,88.99,61.12,30.12,51.3,85.62,42.59,74.8,43.47,47.18,63.3,50.67
breastw,85.59,83.65,95.32,98.65,92.91,93.09,91.96,99.49,75.47,94.88,56.83,85.66,79.61,95.09,91.3,98.04
campaign,23.5,26.68,15.33,39.15,39.32,29.98,47.53,24.15,24.9,27.35,20.49,23.76,31.65,43.55,44.55,46.68
cardio,39.02,45.81,82.12,85.56,82.34,77.24,79.07,59.27,45.71,67.55,,76.95,64.82,57.8,63.75,83.34
Cardiotocography,33.71,60.87,75.22,76.46,75.97,64.45,62.98,73.9,55.11,65.29,45.15,63.22,58.32,61.57,64.77,70.42
celeba,10.97,9.34,3.12,24.67,26.54,22.52,18.27,12.02,7.09,22.35,5.78,19.25,8.64,15.78,16.37,12.24
census,7.65,15.02,10.07,29.48,25.59,25.55,34.55,9.4,22.77,20.63,13.12,19.57,22.59,34.12,36.65,33.0
cover,0.91,71.12,93.61,90.55,89.6,80.01,79.02,68.07,45.91,44.76,50.32,92.3,50.22,13.43,83.02,81.41
donors,15.61,97.85,17.11,99.87,99.15,99.86,92.83,88.51,63.57,94.42,91.83,99.02,52.91,70.4,80.89,89.69
fault,49.56,50.97,53.82,53.54,54.77,50.95,53.32,47.65,46.8,52.37,42.4,50.0,48.39,53.93,53.23,56.5
fraud,42.43,28.0,42.35,52.8,55.13,54.48,38.57,0.14,21.23,41.61,31.53,48.9,48.38,0.14,36.75,39.79
glass,13.43,23.23,24.01,36.61,48.55,79.66,70.33,68.9,57.76,21.35,77.46,43.89,57.65,68.54,74.45,81.23
Hepatitis,22.05,44.29,74.73,70.9,67.16,62.61,74.33,55.45,16.0,70.66,65.85,63.69,49.16,79.25,77.57,75.35
http,73.48,77.7,93.99,100.0,100.0,97.78,96.68,96.68,61.84,0.37,100.0,100.0,99.44,0.38,100.0,93.81
InternetAds,46.23,46.77,54.16,46.09,41.8,46.66,54.11,19.63,45.08,27.35,28.45,,41.4,38.46,52.74,67.24
