Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,11,6,12,14,13,7,1,15,16,8,9.0,10.0,2,5,4,3
annthyroid,16,9,11,13,14,10,5,12,15,8,7.0,6.0,3,1,2,4
backdoor,15,6,14,7,12,5,9,16,10,8,13.0,11.0,1,4,3,2
breastw,16,13,12,2,4,11,9,1,14,3,15.0,10.0,8,5,6,7
campaign,15,13,16,8,7,14,1,11,12,10,9.0,6.0,5,3,4,2
cardio,15,12,6,4,7,13,1,14,10,11,,5.0,2,8,9,3
Cardiotocography,16,11,6,10,9,12,4,14,13,7,15.0,8.0,3,2,5,1
celeba,15,10,16,3,6,9,2,11,13,4,14.0,5.0,12,1,8,7
census,16,12,15,4,7,11,2,13,10,9,14.0,8.0,6,3,5,1
cover,16,3,1,7,6,8,13,12,14,9,15.0,4.0,2,10,11,5
donors,16,1,15,1,10,5,8,14,11,1,13.0,1.0,12,7,9,6
fault,16,7,11,12,9,13,4,15,10,5,14.0,8.0,2,3,6,1
fraud,6,4,3,5,1,13,7,8,14,12,15.0,11.0,9,16,10,2
glass,16,10,13,14,12,6,5,11,9,15,2.0,4.0,3,8,7,1
Hepatitis,16,11,10,12,13,8,9,14,15,1,1.0,1.0,1,1,1,1
http,11,1,8,1,1,10,12,12,14,16,1.0,1.0,7,15,1,9
InternetAds,15,9,2,5,7,12,8,14,11,10,13.0,,3,6,4,1
Ionosphere,11,7,6,14,12,13,2,15,10,8,16.0,9.0,5,1,3,4
landsat,16,4,15,12,13,11,3,14,10,8,9.0,7.0,2,5,6,1
letter,16,10,6,9,11,13,2,15,14,12,8.0,5.0,4,3,7,1
Lymphography,14,13,1,1,1,1,1,12,15,1,16.0,1.0,1,1,1,1
magic.gamma,16,4,14,13,12,10,6,15,11,3,9.0,7.0,2,5,8,1
mammography,15,2,11,10,8,5,3,12,16,9,6.0,4.0,7,14,13,1
mnist,16,7,4,10,8,13,3,15,12,11,14.0,9.0,1,5,6,2
musk,16,1,1,1,1,1,1,14,15,1,13.0,1.0,1,1,1,1
optdigits,16,6,3,1,2,4,7,14,13,5,15.0,12.0,11,10,9,8
PageBlocks,16,8,12,15,14,9,4,13,11,10,7.0,6.0,5,2,3,1
pendigits,16,2,8,13,11,9,6,14,12,10,15.0,4.0,3,5,7,1
Pima,16,11,15,9,10,12,5,7,14,8,13.0,6.0,1,2,4,3
satellite,16,7,14,12,13,11,3,15,8,10,9.0,6.0,1,4,5,2
satimage-2,13,3,2,4,5,7,1,10,12,8,11.0,9.0,14,16,15,6
shuttle,16,6,7,14,12,9,1,15,10,13,8.0,11.0,5,3,4,2
skin,16,3,15,12,13,11,7,14,10,6,2.0,4.0,9,5,8,1
smtp,14,4,6,7,10,11,5,15,13,9,12.0,8.0,1,16,3,2
SpamBase,16,8,14,12,9,11,2,15,13,4,10.0,7.0,6,3,5,1
speech,16,14,7,2,1,6,11,10,3,5,8.0,4.0,15,12,9,13
Stamps,16,14,11,13,9,10,4,8,15,7,12.0,3.0,6,2,5,1
thyroid,16,13,5,6,7,8,1,10,15,11,14.0,9.0,12,4,3,2
vertebral,16,10,14,13,12,8,1,11,9,15,6.0,7.0,5,4,3,2
vowels,16,14,9,4,3,7,8,11,6,13,15.0,1.0,12,5,10,2
Waveform,16,14,4,7,5,13,6,12,2,1,15.0,9.0,11,8,10,3
WBC,13,10,6,4,7,15,1,9,11,12,16.0,5.0,3,14,8,2
WDBC,15,12,1,1,1,1,13,1,14,1,16.0,1.0,9,11,10,1
Wilt,16,3,15,13,12,10,5,11,8,14,2.0,9.0,4,7,6,1
wine,16,14,1,1,1,1,1,1,15,1,1.0,1.0,1,1,1,1
WPBC,16,8,14,12,11,10,1,15,13,9,6.0,5.0,7,4,2,3
yeast,15,12,16,11,10,9,4,13,14,8,7.0,2.0,5,3,6,1
CIFAR10,15,11,5,1,7,9,4,16,8,10,14.0,12.0,13,3,6,2
FashionMNIST,15,9,2,1,7,8,4,16,10,11,14.0,12.0,13,3,6,5
MNIST-C,16,10,14,1,2,8,5,15,7,9,13.0,12.0,11,3,4,6
MVTec-AD,14,6,15,7,9,10,3,16,12,11,13.0,8.0,5,4,2,1
SVHN,15,10,2,1,3,9,6,16,8,11,12.0,13.0,14,5,7,4
Agnews,16,12,3,5,4,10,8,15,6,1,11.0,13.0,14,9,7,2
Amazon,15,11,4,2,3,8,7,16,10,1,13.0,12.0,14,9,6,5
Imdb,16,12,10,2,4,8,7,14,6,1,11.0,13.0,15,9,5,3
Yelp,14,13,2,3,5,10,7,16,4,1,11.0,12.0,15,9,8,6
20news,15,10,14,1,2,8,9,16,7,3,12.0,13.0,11,6,5,4
