Datasets,PCA,OCSVM,LOF,CBLOF,COF,HBOS,KNN,SOD,COPOD,ECOD,SVDD,GMM,LODA,IForest
ALOI,6,8,1,9,2,11,3,4,10,7,14,12.0,13,5
annthyroid,8,12,7,10,9,11,6,3,4,2,5,13.0,14,1
backdoor,7,2,3,4,8,10,6,11,5,1,14,13.0,12,9
breastw,8,10,12,7,13,3,6,9,1,2,11,,4,5
campaign,4,9,10,8,11,1,5,7,2,3,14,12.0,13,6
cardio,1,3,13,7,12,8,9,11,5,2,14,10.0,6,4
Cardiotocography,2,1,10,7,12,9,11,14,6,4,13,8.0,3,5
celeba,1,6,14,4,13,2,9,11,3,5,10,12.0,8,7
census,2,10,12,8,13,5,4,6,1,3,11,9.0,14,7
cover,1,3,10,6,12,11,9,13,7,2,14,5.0,4,8
donors,1,7,11,10,9,4,3,12,2,6,13,8.0,14,5
fault,10,9,5,3,4,8,1,2,12,13,7,11.0,14,6
fraud,8,6,2,5,4,9,3,1,13,10,14,11.0,12,7
glass,12,14,11,1,10,3,2,7,9,6,13,5.0,8,4
Hepatitis,4,7,14,8,13,2,11,6,1,3,12,10.0,9,5
http,2,4,11,3,8,5,13,9,6,7,10,,12,1
InternetAds,11,4,8,1,9,5,2,10,7,6,12,,13,3
Ionosphere,8,10,2,1,4,13,3,5,7,11,14,12.0,9,6
landsat,14,13,7,2,8,6,4,3,11,5,1,10.0,12,9
letter,12,14,2,5,4,7,1,3,9,10,8,11.0,13,6
Lymphography,2,4,9,1,8,6,13,11,7,5,14,12.0,10,3
magic.gamma,9,12,6,3,10,5,1,2,7,11,13,14.0,8,4
mammography,3,6,12,9,11,5,7,10,2,1,13,,8,4
mnist,1,3,11,6,9,12,5,13,7,2,14,10.0,8,4
musk,3,8,13,1,14,1,11,10,7,6,12,9.0,5,4
optdigits,11,10,9,1,12,2,13,8,4,7,14,5.0,6,3
PageBlocks,2,5,12,7,13,10,9,11,6,1,14,3.0,8,4
pendigits,3,2,12,7,13,4,9,10,6,5,14,11.0,8,1
Pima,5,7,9,3,11,4,1,10,6,13,14,12.0,8,2
satellite,10,11,12,3,14,2,5,6,7,1,13,8.0,9,4
satimage-2,4,6,14,1,12,3,10,11,7,8,13,9.0,5,2
shuttle,5,7,12,8,14,4,9,10,3,2,13,6.0,11,1
skin,10,6,8,2,12,5,1,4,7,13,11,,9,3
smtp,3,4,10,5,6,12,2,14,7,9,8,11.0,13,1
SpamBase,6,9,11,5,13,4,8,10,1,2,7,,12,3
speech,9,13,6,12,1,11,8,2,4,7,3,5.0,14,10
Stamps,2,8,14,11,13,5,10,9,1,3,12,6.0,7,4
thyroid,3,10,11,6,9,5,4,8,7,2,14,12.0,13,1
vertebral,8,6,2,4,3,13,11,5,14,7,9,1.0,12,10
vowels,9,10,3,5,2,7,1,4,12,14,13,11.0,8,6
Waveform,10,12,3,6,5,8,2,9,1,4,13,14.0,11,7
WBC,7,4,13,1,11,6,10,9,2,2,12,,8,5
WDBC,4,6,12,3,9,1,11,10,2,8,14,13.0,7,5
Wilt,14,12,2,10,3,11,4,1,9,7,5,8.0,13,6
wine,4,6,13,14,12,1,11,10,3,7,9,8.0,2,5
WPBC,10,12,14,13,11,1,9,2,4,7,3,6.0,5,8
yeast,7,9,2,3,5,10,12,6,14,11,1,8.0,4,13
CIFAR10,6,7,1,4,3,13,2,5,11,10,14,12.0,8,9
FashionMNIST,3,4,12,1,11,10,2,7,8,6,14,13.0,9,5
MNIST-C,5,8,12,2,11,10,1,4,9,7,14,13.0,3,6
MVTec-AD,8,10,2,1,11,4,6,9,7,3,14,13.0,12,5
SVHN,6,5,1,7,2,13,3,4,12,9,14,11.0,10,8
Agnews,8,9,1,5,2,10,3,4,12,11,14,13.0,7,6
Amazon,10,12,9,3,4,7,2,1,5,6,14,13.0,11,8
Imdb,12,14,9,6,5,7,10,4,3,1,2,11.0,13,8
Yelp,11,12,3,5,4,9,1,2,7,8,14,13.0,10,6
20news,7,8,1,5,2,9,3,4,11,10,14,13.0,12,6
